occurrence_id,case_id,category,raw_literal,normalized_value,type,span_start,span_end,expected_label,v4_behavior,v5_behavior,v4_correct,v5_correct,same_value_sibling_count,type_differs_from_sibling,query_echo,evidence_contains_value,supported_alternative_present,change_type,safety_effect
C21.O1,C21,SAME_VALUE_SKIP_VALIDATE,30,30,NUMBER,0,2,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,True,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C21.O2,C21,SAME_VALUE_SKIP_VALIDATE,30 days,30,DURATION,50,57,VALIDATE,VALIDATE,VALIDATE,True,True,2,True,False,True,False,UNCHANGED_SAFE,SAFE
C29.O1,C29,CROSS_TYPE_DUPLICATE,30,30,NUMBER,0,2,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,True,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C29.O2,C29,CROSS_TYPE_DUPLICATE,30 minutes,30,DURATION,30,40,VALIDATE,VALIDATE,VALIDATE,True,True,2,True,False,True,False,UNCHANGED_SAFE,SAFE
C32.O1,C32,REVERSED_ORDER_CROSS_TYPE,30 days,30,DURATION,21,28,VALIDATE,VALIDATE,VALIDATE,True,True,2,True,False,True,True,UNCHANGED_SAFE,SAFE
C32.O2,C32,REVERSED_ORDER_CROSS_TYPE,30,30,NUMBER,34,36,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,True,False,True,True,MULTI_OCCURRENCE_FIXED,SAFE
C41.O1,C41,AMBIGUOUS_SIBLING,30,30,NUMBER,0,2,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,True,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C41.O2,C41,AMBIGUOUS_SIBLING,30 days,30,DURATION,45,52,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,2,True,False,True,False,UNCHANGED_SAFE,SAFE
C48.O1,C48,C50_ANCHOR,30,30,NUMBER,0,2,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,True,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C48.O2,C48,C50_ANCHOR,30 days,30,DURATION,52,59,VALIDATE,VALIDATE,VALIDATE,True,True,2,True,False,True,False,UNCHANGED_SAFE,SAFE
C49.O1,C49,TYPE_MISMATCH,100,100,NUMBER,0,3,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,True,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C49.O2,C49,TYPE_MISMATCH,100 minutes,100,DURATION,43,54,VALIDATE,VALIDATE,VALIDATE,True,True,2,True,False,True,False,UNCHANGED_SAFE,SAFE
C50.O1,C50,MULTI_OCCURRENCE,30,30,NUMBER,20,22,VALIDATE,VALIDATE,VALIDATE,True,True,3,True,True,True,False,UNCHANGED_SAFE,SAFE
C50.O2,C50,MULTI_OCCURRENCE,30,30,NUMBER,28,30,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,3,True,True,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C50.O3,C50,MULTI_OCCURRENCE,30 days,30,DURATION,85,92,VALIDATE,VALIDATE,VALIDATE,True,True,3,True,True,True,False,UNCHANGED_SAFE,SAFE
