event_id,query_id,arm,answer_part_index,claim_text,critical_value,critical_value_type,support_ids,support_text_excerpt,validator_rule,validator_reason,validator_expected_literal,validator_observed_literal,normalization_applied,trace_status,critical_reject,forced_abstain,final_semantic_label,final_visible,source_artifact,notes
CV-001,techqa_DEV_Q126#row-0066,OFF,0,AMQ9640 with reason code 2399 occurs because the client-side SSLPEERNAME was erroneously populated from the distinguished name (DN) of the certificate during the JMS Session connection. That unintended peer-name comparison then failed; the SSL connection itself had already been established.,2399,NUMBER,E1.S7,"**************************************************************** PROBLEM SUMMARY: A WebSphere MQ Classes for JMS application established an SSL connection to a Queue Manager. The application then attempted to create a JMS Session from the connection, on the JMS Session connect the SSLPEERNAME property was erroneously set on the client side from the distinguished name of the certificate. This resulted in the MQRC_SSL_PEER_NAME_ERROR error being returned to the application.",claim_local_critical_value_audit,CRITICAL_VALUE_INDETERMINATE,2399,,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,INDETERMINATE,True,True,UNAVAILABLE,False,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-002,techqa_DEV_Q126#row-0066,OFF,2,"The IBM fix changed the JMS classes so they no longer set SSLPEERNAME from the certificate DN during the JMS Session connection. For MQ 7.0, the fix was targeted for maintenance level 7.0.1.13.",false,OTHER,E1.S8;E1.S10,PROBLEM CONCLUSION * The WebSphere MQ Classes for JMS have been altered to not set the SSLPEERNAME property from the distinguished name of the certificate when attempting the JMS Session connect. || Version Maintenance Level v7.0 7.0.1.13,claim_local_critical_value_audit,CRITICAL_VALUE_INDETERMINATE,false,,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,INDETERMINATE,True,True,UNAVAILABLE,False,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-003,techqa_DEV_Q126#row-0066,OFF,3,"A separate possible cause is malformed DN parsing: slashes in certificate DN fields such as CN, O, OU, or L can cause SSLPEER verification and the SSL handshake to fail because MQ uses slash characters as DN delimiters. The documented workaround is to generate certificates whose DN values contain no slashes.",false,OTHER,E5.S4;E5.S5,"ERROR DESCRIPTION * Using slashes in the Distinguished Name name fields such as CN, O, OU, L, will fail SSLPEER value verification, and as such SSL Handshake, due to an MQ parsing error. MQ uses slashes (/) to delimit the distinguished name values when matching the SSLPEER value with the information contained in the certificate. || LOCAL FIX * The only workaround is to generate certificates with Distinguished Name values that do not contain a slash.",claim_local_critical_value_audit,CRITICAL_VALUE_INDETERMINATE,false,,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,INDETERMINATE,True,True,UNAVAILABLE,False,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-004,techqa_DEV_Q126#row-0066,ON,0,"The failure is caused by a WebSphere MQ Classes for JMS V7.0.1 client defect: during JMS Session connection, the client erroneously set SSLPEERNAME from the certificate’s distinguished name. MQ then returned MQRC_SSL_PEER_NAME_ERROR (2399), reported as AMQ9640. This matches the example where the peer-name attribute is shown as an OID rather than a normal expected peer-name value.",7.0.1,VERSION,E1.S3;E1.S7,"ERROR DESCRIPTION * A WebSphere MQ classes for Java Message Service (JMS) or WebSphere MQ classes for Java client application using WebSphere MQ Version 7.0.1.11 jar files, tries to make a connection to a queue manager secured with SSL/TLS. This fails with a JMSException, with reason code MQRC_SSL_PEER_NAME_ERROR. The exception is similar to: . com.ibm.mq.jmqi.JmqiException: CC=2;RC=2399;AMQ9640: SSL invalid peer name, channel '?', attribute 'DC (x2)'. [5=DC (x2)] . The same application works fine when using the WebSphere MQ Version 7.0.1.10 jar files. . Below is an extract of a JMS trace show || **************************************************************** PROBLEM SUMMARY: A WebSphere MQ Classes for JMS application established an SSL connection to a Queue Manager. The application then attempted to create a JMS Session from the connection, on the JMS Session connect the SSLPEERNAME property was erroneously set on the client side from the distinguished name of the certificate. This resulted in the MQRC_SSL_PEER_NAME_ERROR error being returned to the application.",claim_local_critical_value_audit,CRITICAL_VALUE_DIRECT_CONFLICT,7.0.1,7.0.1.11;7.0.1.10,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,DIRECT_CONFLICT,True,True,UNAVAILABLE,False,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-005,techqa_DEV_Q126#row-0066,ON,1,The defect was corrected so that the JMS classes no longer set SSLPEERNAME from the certificate distinguished name during JMS Session connection.,false,OTHER,E1.S8,PROBLEM CONCLUSION * The WebSphere MQ Classes for JMS have been altered to not set the SSLPEERNAME property from the distinguished name of the certificate when attempting the JMS Session connect.,claim_local_critical_value_audit,CRITICAL_VALUE_INDETERMINATE,false,,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,INDETERMINATE,True,True,UNAVAILABLE,False,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-006,techqa_DEV_Q277#row-0042,OFF,1,"For WebSphere Portal 8.5, transient user support for the SAML TAI was introduced starting with Cumulative Fix 8. The supplied documentation does not state that this support was available for Portal 8.0.",8.0,VERSION,E1.S15,Transient user support [http://www-01.ibm.com/support/knowledgecenter/SSHRKX_8.5.0/mp/overview/new_cf08.dita?lang=en] has been introduced for SAML TAI [http://www-01.ibm.com/support/knowledgecenter/SSHRKX_8.5.0/mp/wcm/wcm_secure_int_tai_auth.dita?lang=en] starting with Cumulative Fix (CF) #8 for 8.5. Refer to the WebSphere Portal Security blog [https://www.ibm.com/developerworks/community/blogs/8f2bc166-3bdc-4a9d-bad4-3620dbb3e46c/entry/portal_transient_user_support_with_was_saml_tai_business_case_clarification?lang=en] for more details regarding the business case and implementation details.,claim_local_critical_value_audit,CRITICAL_VALUE_DIRECT_CONFLICT,8.0,5.0;8.5,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,DIRECT_CONFLICT,True,True,UNAVAILABLE,False,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-007,techqa_DEV_Q277#row-0042,OFF,2,"For Portal 8.0, the documented resolution is to change `sso_<n>.sp.idMap` from `idAssertion` to `localRealm`, which requires the user to exist in the user registry so WebSphere Application Server can obtain the user’s full distinguished name.",8.0,VERSION,E1.S12;E1.S13,"The idAssertion value means that no entry is necessary for the user in the user registry, which is not supported in WebSphere Portal by default. Update the sso_<n>.sp.idMap property via the Integrated Solutions Console to use the value ""localRealm"" instead of ""idAssertion."" || The localRealm value ensures that WebSphere Application Server will complete the JAAS Subject with the full distinguished name for the user by querying the user registry and thus Portal will pass the correct format to VMM.",claim_local_critical_value_audit,CRITICAL_VALUE_INDETERMINATE,8.0,,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,INDETERMINATE,True,True,UNAVAILABLE,False,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-008,techqa_DEV_Q277#row-0042,ON,1,"Transient user support for the SAML TAI was introduced starting with Cumulative Fix 8 for WebSphere Portal 8.5, not Portal 8.0.",8.0,VERSION,E1.S15,Transient user support [http://www-01.ibm.com/support/knowledgecenter/SSHRKX_8.5.0/mp/overview/new_cf08.dita?lang=en] has been introduced for SAML TAI [http://www-01.ibm.com/support/knowledgecenter/SSHRKX_8.5.0/mp/wcm/wcm_secure_int_tai_auth.dita?lang=en] starting with Cumulative Fix (CF) #8 for 8.5. Refer to the WebSphere Portal Security blog [https://www.ibm.com/developerworks/community/blogs/8f2bc166-3bdc-4a9d-bad4-3620dbb3e46c/entry/portal_transient_user_support_with_was_saml_tai_business_case_clarification?lang=en] for more details regarding the business case and implementation details.,claim_local_critical_value_audit,CRITICAL_VALUE_DIRECT_CONFLICT,8.0,8.5,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,DIRECT_CONFLICT,True,True,UNAVAILABLE,False,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-009,techqa_DEV_Q277#row-0042,ON,2,"For a Portal 8.0 environment, configure the SAML TAI `sso_<n>.sp.idMap` property as `localRealm` instead of `idAssertion`, and maintain corresponding users in the user registry. `localRealm` makes WebSphere Application Server obtain the user’s full distinguished name from the registry so Portal can query VMM correctly.",8.0,VERSION,E1.S12;E1.S13,"The idAssertion value means that no entry is necessary for the user in the user registry, which is not supported in WebSphere Portal by default. Update the sso_<n>.sp.idMap property via the Integrated Solutions Console to use the value ""localRealm"" instead of ""idAssertion."" || The localRealm value ensures that WebSphere Application Server will complete the JAAS Subject with the full distinguished name for the user by querying the user registry and thus Portal will pass the correct format to VMM.",claim_local_critical_value_audit,CRITICAL_VALUE_INDETERMINATE,8.0,,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,INDETERMINATE,True,True,UNAVAILABLE,False,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-010,techqa_DEV_Q250#row-0012,OFF,0,The supplied bulletin covering CVE-2017-1000381 and CVE-2017-11499 describes vulnerabilities in c-ares and Node.js. CVE-2017-1000381 could allow sensitive-information disclosure and denial of service through a specially crafted DNS response; CVE-2017-11499 could allow a remote attacker to cause denial of service by flooding a hash.,2017,NUMBER,E3.S1,"SECURITY BULLETIN SUMMARY Vulnerabilities in .NET Core, ASP.NET Core Could Allow Elevation of Privilege. Vulnerabilities in Node.js and the c-ares library were disclosed on July 11 2017 by the Node.js Foundation. IBM SDK for Node.js has addressed the applicable CVEs. VULNERABILITY DETAILS CVEID: CVE-2017-0256 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-0256] DESCRIPTION: Microsoft ASP.NET Core could allow a remote attacker to conduct spoofing attacks, caused by improper validation of user supplied input. CVSS Base Score: 6.5 CVSS Temporal Score: See https://exchange.xforce.ibmcloud",claim_local_critical_value_audit,CRITICAL_VALUE_INDETERMINATE,2017,,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,INDETERMINATE,True,False,CORRECT,True,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-011,techqa_DEV_Q250#row-0012,OFF,0,The supplied bulletin covering CVE-2017-1000381 and CVE-2017-11499 describes vulnerabilities in c-ares and Node.js. CVE-2017-1000381 could allow sensitive-information disclosure and denial of service through a specially crafted DNS response; CVE-2017-11499 could allow a remote attacker to cause denial of service by flooding a hash.,1000381,NUMBER,E3.S1,"SECURITY BULLETIN SUMMARY Vulnerabilities in .NET Core, ASP.NET Core Could Allow Elevation of Privilege. Vulnerabilities in Node.js and the c-ares library were disclosed on July 11 2017 by the Node.js Foundation. IBM SDK for Node.js has addressed the applicable CVEs. VULNERABILITY DETAILS CVEID: CVE-2017-0256 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-0256] DESCRIPTION: Microsoft ASP.NET Core could allow a remote attacker to conduct spoofing attacks, caused by improper validation of user supplied input. CVSS Base Score: 6.5 CVSS Temporal Score: See https://exchange.xforce.ibmcloud",claim_local_critical_value_audit,CRITICAL_VALUE_INDETERMINATE,1000381,,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,INDETERMINATE,True,False,CORRECT,True,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-012,techqa_DEV_Q250#row-0012,OFF,0,The supplied bulletin covering CVE-2017-1000381 and CVE-2017-11499 describes vulnerabilities in c-ares and Node.js. CVE-2017-1000381 could allow sensitive-information disclosure and denial of service through a specially crafted DNS response; CVE-2017-11499 could allow a remote attacker to cause denial of service by flooding a hash.,2017,NUMBER,E3.S1,"SECURITY BULLETIN SUMMARY Vulnerabilities in .NET Core, ASP.NET Core Could Allow Elevation of Privilege. Vulnerabilities in Node.js and the c-ares library were disclosed on July 11 2017 by the Node.js Foundation. IBM SDK for Node.js has addressed the applicable CVEs. VULNERABILITY DETAILS CVEID: CVE-2017-0256 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-0256] DESCRIPTION: Microsoft ASP.NET Core could allow a remote attacker to conduct spoofing attacks, caused by improper validation of user supplied input. CVSS Base Score: 6.5 CVSS Temporal Score: See https://exchange.xforce.ibmcloud",claim_local_critical_value_audit,CRITICAL_VALUE_INDETERMINATE,2017,,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,INDETERMINATE,True,False,CORRECT,True,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
CV-013,techqa_DEV_Q250#row-0012,OFF,0,The supplied bulletin covering CVE-2017-1000381 and CVE-2017-11499 describes vulnerabilities in c-ares and Node.js. CVE-2017-1000381 could allow sensitive-information disclosure and denial of service through a specially crafted DNS response; CVE-2017-11499 could allow a remote attacker to cause denial of service by flooding a hash.,11499,NUMBER,E3.S1,"SECURITY BULLETIN SUMMARY Vulnerabilities in .NET Core, ASP.NET Core Could Allow Elevation of Privilege. Vulnerabilities in Node.js and the c-ares library were disclosed on July 11 2017 by the Node.js Foundation. IBM SDK for Node.js has addressed the applicable CVEs. VULNERABILITY DETAILS CVEID: CVE-2017-0256 [http://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-0256] DESCRIPTION: Microsoft ASP.NET Core could allow a remote attacker to conduct spoofing attacks, caused by improper validation of user supplied input. CVSS Base Score: 6.5 CVSS Temporal Score: See https://exchange.xforce.ibmcloud",claim_local_critical_value_audit,CRITICAL_VALUE_INDETERMINATE,11499,,NFKC_CASEFOLD_EXACT_TOKEN_NO_STEM_TR_EN_STOPWORDS_NEGATION_PRESERVED,INDETERMINATE,True,False,CORRECT,True,06-deterministic/validation-results.jsonl,Event table contains rejecting traces only; DIRECT_SUPPORT traces in a mixed part are not rejection events.
