failure_id,case_id,occurrence_id,raw_literal,type,expected_role,observed_role,sibling_or_context,first_identity_loss,root_cause,confidence,notes
GC-01,S03,S03.O2,100,NUMBER,SKIP_REJECTED_PREMISE,VALIDATE,-100 signed sibling,ROLE_CLASSIFICATION,ROLE_TO_VALUE_REJOIN;TYPE_REINTERPRETATION,HIGH,global-collapse and type-mismatch counters overlap
GC-02,S14,S14.O2,42,NUMBER,SKIP_REJECTED_PREMISE,VALIDATE,+42 signed sibling,ROLE_CLASSIFICATION,ROLE_TO_VALUE_REJOIN;TYPE_REINTERPRETATION,HIGH,global-collapse and type-mismatch counters overlap
GC-03,P02,P02.O2,42,NUMBER,SKIP_REJECTED_PREMISE,VALIDATE,+42 signed sibling,ROLE_CLASSIFICATION,ROLE_TO_VALUE_REJOIN;TYPE_REINTERPRETATION,HIGH,global-collapse and type-mismatch counters overlap
GC-04,P06,P06.O2,300,NUMBER,SKIP_REJECTED_PREMISE,VALIDATE,+300 signed sibling,ROLE_CLASSIFICATION,ROLE_TO_VALUE_REJOIN;TYPE_REINTERPRETATION,HIGH,global-collapse and type-mismatch counters overlap
RM-01,D01,D01.O2,12,NUMBER,SKIP_REJECTED_PREMISE,VALIDATE,12.0 typed sibling,ROLE_CLASSIFICATION,CLAIM_ASSOCIATION_LOSS,MEDIUM,conservative V5 role rule did not establish the expected correction
RM-02,D03,D03.O2,100,NUMBER,SKIP_REJECTED_PREMISE,VALIDATE,100.0 typed sibling,ROLE_CLASSIFICATION,CLAIM_ASSOCIATION_LOSS,MEDIUM,conservative V5 role rule did not establish the expected correction
RM-03,D06,D06.O2,1,NUMBER,SKIP_REJECTED_PREMISE,VALIDATE,1.25 typed sibling,ROLE_CLASSIFICATION,CLAIM_ASSOCIATION_LOSS,MEDIUM,conservative V5 role rule did not establish the expected correction
RM-04,U05,U05.O2,30 days,DURATION,SKIP_REJECTED_PREMISE,VALIDATE,90 days same unit,ROLE_CLASSIFICATION,CLAIM_ASSOCIATION_LOSS,MEDIUM,conservative V5 role rule did not establish the expected correction
RM-05,V03,V03.O2,10.2,VERSION,SKIP_REJECTED_PREMISE,VALIDATE,10.2.1 exact sibling,ROLE_CLASSIFICATION,CLAIM_ASSOCIATION_LOSS,MEDIUM,version role remains V5-conservative
RM-06,V07,V07.O2,12.4,VERSION,SKIP_REJECTED_PREMISE,VALIDATE,12.4.9 exact sibling,ROLE_CLASSIFICATION,CLAIM_ASSOCIATION_LOSS,MEDIUM,version role remains V5-conservative
RM-07,V09,V09.O2,3.0,VERSION,SKIP_REJECTED_PREMISE,VALIDATE,3.0.0 exact sibling,ROLE_CLASSIFICATION,CLAIM_ASSOCIATION_LOSS,MEDIUM,version role remains V5-conservative
RM-08,T03,T03.O2,24,NUMBER,SKIP_REJECTED_PREMISE,VALIDATE,full date sibling,ROLE_CLASSIFICATION,CLAIM_ASSOCIATION_LOSS,MEDIUM,date case remains V5-conservative
