query_id,evidence_state_on,evidence_state_off,visible_on,visible_off,human_semantic_on,human_semantic_off,human_pair_preference,human_notes
techqa_DEV_Q007#row-0076,ALL,ALL,True,True,,,,
techqa_DEV_Q014#row-0035,ALL,ALL,True,True,,,,
techqa_DEV_Q015#row-0065,PARTIAL,ALL,False,False,,,,
techqa_DEV_Q016#row-0071,PARTIAL,PARTIAL,False,True,,,,
techqa_DEV_Q017#row-0094,NONE,NONE,False,False,,,,
techqa_DEV_Q019#row-0089,PARTIAL,ALL,True,True,,,,
techqa_DEV_Q020#row-0078,NONE,NONE,True,True,,,,
techqa_DEV_Q021#row-0099,ALL,ALL,True,True,,,,
techqa_DEV_Q022#row-0053,ALL,ALL,True,True,,,,
techqa_DEV_Q030#row-0111,ALL,ALL,True,True,,,,
techqa_DEV_Q042#row-0113,NONE,NONE,False,False,,,,
techqa_DEV_Q043#row-0015,ALL,PARTIAL,True,True,,,,
techqa_DEV_Q049#row-0085,NONE,NONE,False,False,,,,
techqa_DEV_Q052#row-0110,ALL,ALL,True,True,,,,
techqa_DEV_Q061#row-0044,ALL,ALL,True,True,,,,
techqa_DEV_Q063#row-0083,NONE,ALL,False,True,,,,
techqa_DEV_Q066#row-0086,PARTIAL,ALL,True,True,,,,
techqa_DEV_Q069#row-0073,PARTIAL,ALL,False,True,,,,
techqa_DEV_Q072#row-0036,PARTIAL,PARTIAL,True,True,,,,
techqa_DEV_Q081#row-0047,ALL,ALL,False,True,,,,
techqa_DEV_Q084#row-0069,ALL,ALL,True,True,,,,
techqa_DEV_Q093#row-0154,ALL,ALL,False,True,,,,
techqa_DEV_Q096#row-0127,ALL,ALL,True,True,,,,
techqa_DEV_Q101#row-0070,NONE,NONE,False,True,,,,
techqa_DEV_Q103#row-0139,ALL,ALL,True,True,,,,
techqa_DEV_Q104#row-0143,NONE,NONE,False,False,,,,
techqa_DEV_Q105#row-0092,NONE,NONE,False,True,,,,
techqa_DEV_Q106#row-0129,ALL,ALL,True,True,,,,
techqa_DEV_Q115#row-0152,NONE,NONE,True,False,,,,
techqa_DEV_Q135#row-0131,ALL,ALL,True,True,,,,
techqa_DEV_Q137#row-0019,ALL,ALL,False,False,,,,
techqa_DEV_Q139#row-0017,NONE,NONE,False,False,,,,
techqa_DEV_Q150#row-0123,ALL,ALL,False,False,,,,
techqa_DEV_Q168#row-0149,ALL,PARTIAL,False,False,,,,
techqa_DEV_Q170#row-0054,NONE,NONE,False,True,,,,
techqa_DEV_Q180#row-0021,ALL,ALL,True,True,,,,
techqa_DEV_Q199#row-0007,ALL,ALL,True,True,,,,
techqa_DEV_Q209#row-0107,ALL,ALL,True,True,,,,
techqa_DEV_Q210#row-0151,ALL,ALL,True,True,,,,
techqa_DEV_Q215#row-0010,ALL,ALL,True,True,,,,
techqa_DEV_Q231#row-0003,NONE,NONE,False,False,,,,
techqa_DEV_Q249#row-0011,ALL,ALL,True,True,,,,
techqa_DEV_Q256#row-0138,NONE,NONE,False,False,,,,
techqa_DEV_Q266#row-0025,ALL,ALL,True,True,,,,
techqa_DEV_Q270#row-0142,PARTIAL,PARTIAL,True,True,,,,
techqa_DEV_Q278#row-0115,ALL,ALL,True,True,,,,
techqa_DEV_Q284#row-0102,NONE,NONE,False,True,,,,
techqa_DEV_Q292#row-0058,ALL,ALL,True,True,,,,
techqa_DEV_Q305#row-0023,ALL,ALL,True,True,,,,
techqa_DEV_Q307#row-0116,ALL,ALL,True,True,,,,
