event_id,query_id,arm,answer_part_index,critical_value,validator_event_status,adjudication,false_positive_subtype,true_conflict_subtype,indeterminate_reason,adjudication_basis,support_values
CV-001,techqa_DEV_Q126#row-0066,OFF,0,2399,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-002,techqa_DEV_Q126#row-0066,OFF,2,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-003,techqa_DEV_Q126#row-0066,OFF,3,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-004,techqa_DEV_Q126#row-0066,ON,0,7.0.1,DIRECT_CONFLICT,FALSE_POSITIVE,VERSION_FORMAT,,,The claim uses a release-family version while attached support uses a more specific patch-level representation.,7.0.1.11;7.0.1.10
CV-005,techqa_DEV_Q126#row-0066,ON,1,false,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-006,techqa_DEV_Q277#row-0042,OFF,1,8.0,DIRECT_CONFLICT,FALSE_POSITIVE,CLAIM_SUPPORT_ALIGNMENT,,,The rejected literal occurs in an explicit negative/contrast claim; attached support supports the positive contrasting fact rather than the negated literal.,5.0;8.5
CV-007,techqa_DEV_Q277#row-0042,OFF,2,8.0,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-008,techqa_DEV_Q277#row-0042,ON,1,8.0,DIRECT_CONFLICT,FALSE_POSITIVE,CLAIM_SUPPORT_ALIGNMENT,,,The rejected literal occurs in an explicit negative/contrast claim; attached support supports the positive contrasting fact rather than the negated literal.,8.5
CV-009,techqa_DEV_Q277#row-0042,ON,2,8.0,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-010,techqa_DEV_Q250#row-0012,OFF,0,2017,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-011,techqa_DEV_Q250#row-0012,OFF,0,1000381,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-012,techqa_DEV_Q250#row-0012,OFF,0,2017,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-013,techqa_DEV_Q250#row-0012,OFF,0,11499,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-014,techqa_DEV_Q250#row-0012,OFF,0,2017,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-015,techqa_DEV_Q250#row-0012,OFF,0,1000381,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-016,techqa_DEV_Q250#row-0012,OFF,0,2017,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-017,techqa_DEV_Q250#row-0012,OFF,0,11499,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
CV-018,techqa_DEV_Q018#row-0112,OFF,0,7.5.0,DIRECT_CONFLICT,FALSE_POSITIVE,VERSION_FORMAT,,,The attached APAR uses IBM's compact reported-release form 750 for the claim's 7.5.0 release.,3.61.65
CV-019,techqa_DEV_Q018#row-0112,OFF,1,7.5.0,DIRECT_CONFLICT,FALSE_POSITIVE,VERSION_FORMAT,,,The attached APAR uses IBM's compact reported-release form 750 for the claim's 7.5.0 release.,7.5.1
CV-020,techqa_DEV_Q018#row-0112,ON,0,803,INDETERMINATE,INDETERMINATE,,,INSUFFICIENT_SUPPORT_CONTEXT,Frozen validator trace was INDETERMINATE; no faithful conflict/representation decision was established.,
