occurrence_id,case_id,raw_literal,normalized_value,type,span_start,span_end,nested_inside_occurrence_id,expected_extraction_status,expected_role,v5_extraction_status,v6_extraction_status,v5_role,v6_role,v5_correct,v6_correct,same_value_sibling_count,type_differs_from_sibling,change_type,safety_effect
T01.O1,T01,2026-08-31,2026-08-31,DATE,12,22,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
T01.O2,T01,31,31,NUMBER,45,47,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
T02.O1,T02,2025-01-09,2025-01-09,DATE,17,27,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
T02.O2,T02,9,9,NUMBER,58,59,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
T03.O1,T03,2030-12-24,2030-12-24,DATE,14,24,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
T03.O2,T03,24,24,NUMBER,43,45,,INDEPENDENT,SKIP_REJECTED_PREMISE,PRESENT,PRESENT,VALIDATE,VALIDATE,False,False,1,False,OTHER,UNSAFE_OR_MISSED
T04.O1,T04,2024-04-04,2024-04-04,DATE,18,28,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
T04.O2,T04,4,4,NUMBER,58,59,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
T05.O1,T05,2027-11-30,2027-11-30,DATE,19,29,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
T05.O2,T05,30,30,NUMBER,57,59,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
