occurrence_id,case_id,raw_literal,normalized_value,type,span_start,span_end,nested_inside_occurrence_id,expected_extraction_status,expected_role,v5_extraction_status,v6_extraction_status,v5_role,v6_role,v5_correct,v6_correct,same_value_sibling_count,type_differs_from_sibling,change_type,safety_effect
I01.O1,I01,CVE-2025-1234,cve-2025-1234,IDENTIFIER,13,26,,INDEPENDENT,VALIDATE,MISSING,PRESENT,VALIDATE,VALIDATE,False,True,1,False,UNCHANGED_SAFE,SAFE
I01.O2,I01,1234,1234,NUMBER,55,59,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
I02.O1,I02,CVE-2026-77,cve-2026-77,IDENTIFIER,13,24,,INDEPENDENT,VALIDATE,MISSING,PRESENT,VALIDATE,VALIDATE,False,True,1,False,UNCHANGED_SAFE,SAFE
I02.O2,I02,77,77,NUMBER,37,39,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
I03.O1,I03,SQLCODE -204,sqlcode,IDENTIFIER,20,32,,INDEPENDENT,VALIDATE,MISSING,PRESENT,VALIDATE,VALIDATE,False,True,1,False,UNCHANGED_SAFE,SAFE
I03.O2,I03,204,204,NUMBER,68,71,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
I04.O1,I04,SQLCODE=+12,sqlcode=+12,IDENTIFIER,22,33,,INDEPENDENT,VALIDATE,MISSING,PRESENT,VALIDATE,VALIDATE,False,True,1,False,UNCHANGED_SAFE,SAFE
I04.O2,I04,12,12,NUMBER,59,61,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
I05.O1,I05,CVE-2024-999,cve-2024-999,IDENTIFIER,0,12,,INDEPENDENT,VALIDATE,MISSING,PRESENT,VALIDATE,VALIDATE,False,True,1,False,UNCHANGED_SAFE,SAFE
I05.O2,I05,999,999,NUMBER,38,41,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
I06.O1,I06,SQLCODE -7,sqlcode,IDENTIFIER,4,14,,INDEPENDENT,VALIDATE,MISSING,PRESENT,VALIDATE,VALIDATE,False,True,1,False,UNCHANGED_SAFE,SAFE
I06.O2,I06,7,7,NUMBER,60,61,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
I07.O1,I07,CVE-2030-1,cve-2030-1,IDENTIFIER,18,28,,INDEPENDENT,VALIDATE,MISSING,PRESENT,VALIDATE,VALIDATE,False,True,1,False,UNCHANGED_SAFE,SAFE
I07.O2,I07,1,1,NUMBER,53,54,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
I08.O1,I08,SQLCODE -512,sqlcode,IDENTIFIER,22,34,,INDEPENDENT,VALIDATE,MISSING,PRESENT,VALIDATE,VALIDATE,False,True,1,False,UNCHANGED_SAFE,SAFE
I08.O2,I08,512,512,NUMBER,63,66,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
