occurrence_id,case_id,category,raw_literal,normalized_value,type,span_start,span_end,expected_label,v4_behavior,v5_behavior,v4_correct,v5_correct,same_value_sibling_count,type_differs_from_sibling,query_echo,evidence_contains_value,supported_alternative_present,change_type,safety_effect
C03.O1,C03,QUERY_ECHO_FACT,100,100,NUMBER,13,16,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C03.O2,C03,QUERY_ECHO_FACT,120,120,NUMBER,20,23,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C03.O3,C03,QUERY_ECHO_FACT,100,100,NUMBER,25,28,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C03.O4,C03,QUERY_ECHO_FACT,120,120,NUMBER,43,46,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C04.O1,C04,QUERY_VALUE_CORRECT,120,120,NUMBER,13,16,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C04.O2,C04,QUERY_VALUE_CORRECT,120,120,NUMBER,31,34,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C05.O1,C05,QUOTED_ASSERTION,90 days,90,DURATION,24,31,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C05.O2,C05,QUOTED_ASSERTION,90 days,90,DURATION,58,65,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C08.O1,C08,VERSION_POSITIVE,8.1.2,8.1.2,VERSION,25,30,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C08.O2,C08,VERSION_POSITIVE,8.1.2,8.1.2,VERSION,51,56,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C09.O1,C09,SIGNED_IDENTIFIER,204,204,NUMBER,29,32,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C09.O2,C09,SIGNED_IDENTIFIER,204,204,NUMBER,71,74,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C21.O1,C21,SAME_VALUE_SKIP_VALIDATE,30,30,NUMBER,0,2,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,True,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C21.O2,C21,SAME_VALUE_SKIP_VALIDATE,30 days,30,DURATION,50,57,VALIDATE,VALIDATE,VALIDATE,True,True,2,True,False,True,False,UNCHANGED_SAFE,SAFE
C22.O1,C22,SAME_VALUE_SKIP_VALIDATE,100,100,NUMBER,0,3,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C22.O2,C22,SAME_VALUE_SKIP_VALIDATE,100,100,NUMBER,52,55,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C23.O1,C23,VERSION_DUPLICATE,8.1.2,8.1.2,VERSION,0,5,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C23.O2,C23,VERSION_DUPLICATE,8.1.2,8.1.2,VERSION,51,56,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C24.O1,C24,IDENTIFIER_DUPLICATE,204,204,NUMBER,0,3,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C24.O2,C24,IDENTIFIER_DUPLICATE,204,204,NUMBER,56,59,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C25.O1,C25,PERCENTAGE_DUPLICATE,10%,10,PERCENTAGE,0,3,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C25.O2,C25,PERCENTAGE_DUPLICATE,10%,10,PERCENTAGE,54,57,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C26.O1,C26,DATE_DUPLICATE,2025-01-01,2025-01-01,DATE,0,10,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C26.O2,C26,DATE_DUPLICATE,2025-01-01,2025-01-01,DATE,56,66,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C27.O1,C27,DURATION_DUPLICATE,60 seconds,60,DURATION,0,10,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C27.O2,C27,DURATION_DUPLICATE,60 seconds,60,DURATION,64,74,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C28.O1,C28,QUERY_ECHO_CORRECTION,100,100,NUMBER,4,7,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,True,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C28.O2,C28,QUERY_ECHO_CORRECTION,100,100,NUMBER,64,67,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,True,True,False,UNCHANGED_SAFE,SAFE
C29.O1,C29,CROSS_TYPE_DUPLICATE,30,30,NUMBER,0,2,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,True,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C29.O2,C29,CROSS_TYPE_DUPLICATE,30 minutes,30,DURATION,30,40,VALIDATE,VALIDATE,VALIDATE,True,True,2,True,False,True,False,UNCHANGED_SAFE,SAFE
C30.O1,C30,VERSION_QUERY_ECHO,8.1.2,8.1.2,VERSION,0,5,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,True,True,False,MULTI_OCCURRENCE_FIXED,SAFE
