query_id,candidate_a_semantic,candidate_b_semantic,pair_preference,candidate_a_grounding_notes,candidate_b_grounding_notes,human_notes
techqa_DEV_Q007#row-0076,PARTIAL,PARTIAL,B_BETTER,MISSING_REQUIRED_FACT,MISSING_REQUIRED_FACT,B covers both product-version branches; neither states both requested gateway filenames.
techqa_DEV_Q014#row-0035,CORRECT,CORRECT,TIE,SUPPORTED,SUPPORTED,Both give the required V8.0 transition.
techqa_DEV_Q015#row-0065,UNAVAILABLE,UNAVAILABLE,TIE,ABSTAIN,ABSTAIN,No usable visible answer.
techqa_DEV_Q016#row-0071,PARTIAL,UNAVAILABLE,A_BETTER,MISSING_REQUIRED_FACT,ABSTAIN,A provides related deployment detail but does not configure the separate endpoint.
techqa_DEV_Q017#row-0094,UNAVAILABLE,UNAVAILABLE,TIE,ABSTAIN,ABSTAIN,No usable visible answer.
techqa_DEV_Q019#row-0089,INCORRECT,CORRECT,B_BETTER,WRONG_ENTITY,SUPPORTED,A answers a different product/security context; B addresses the requested bulletin.
techqa_DEV_Q020#row-0078,PARTIAL,PARTIAL,TIE,PARTIAL_EVIDENCE,PARTIAL_EVIDENCE,Both provide useful OOM diagnostics but omit important context-specific guidance.
techqa_DEV_Q021#row-0099,CORRECT,CORRECT,TIE,SUPPORTED,SUPPORTED,Both state the local WSDL refresh procedure and external-cache distinction.
techqa_DEV_Q022#row-0053,PARTIAL,PARTIAL,TIE,MISSING_REQUIRED_FACT,MISSING_REQUIRED_FACT,Both discuss the developer packaging path but do not directly state the requested fix is unavailable.
techqa_DEV_Q030#row-0111,CORRECT,CORRECT,TIE,SUPPORTED,SUPPORTED,Both reproduce the required JVM arguments and rotation settings.
techqa_DEV_Q042#row-0113,UNAVAILABLE,UNAVAILABLE,TIE,ABSTAIN,ABSTAIN,No usable visible answer.
techqa_DEV_Q043#row-0015,CORRECT,CORRECT,TIE,SUPPORTED,SUPPORTED,Both provide the requested download path and relevant part/install details.
techqa_DEV_Q049#row-0085,UNAVAILABLE,UNAVAILABLE,TIE,ABSTAIN,ABSTAIN,No usable visible answer.
techqa_DEV_Q052#row-0110,PARTIAL,CORRECT,B_BETTER,PARTIAL_EVIDENCE,SUPPORTED,B gives the same-subject-DN diagnosis and the cache-clearing remedy more completely.
techqa_DEV_Q061#row-0044,CORRECT,INCORRECT,A_BETTER,SUPPORTED,WRONG_PROCEDURE,B addresses the stuck JVM server after maintenance; B answers a different refresh procedure.
techqa_DEV_Q063#row-0083,UNAVAILABLE,PARTIAL,B_BETTER,ABSTAIN,MISSING_REQUIRED_FACT,B gives a relevant deletion action but omits the status-based DeleteMe setup.
techqa_DEV_Q066#row-0086,CORRECT,CORRECT,TIE,SUPPORTED,SUPPORTED,Both identify the alerts and the required Red Hat remediation.
techqa_DEV_Q069#row-0073,PARTIAL,UNAVAILABLE,A_BETTER,PARTIAL_EVIDENCE,ABSTAIN,A gives relevant AMS behavior/workarounds but is less direct than the reference scenario.
techqa_DEV_Q072#row-0036,PARTIAL,CORRECT,B_BETTER,WRONG_REFERENCE_LINK,SUPPORTED,B gives the requested bulletin and remediation details; A has a mismatched bulletin link.
techqa_DEV_Q081#row-0047,UNAVAILABLE,CORRECT,B_BETTER,ABSTAIN,SUPPORTED,B identifies all three requested temporary files.
techqa_DEV_Q084#row-0069,PARTIAL,INCORRECT,A_BETTER,MISSING_REQUIRED_FACT,OFF_TARGET,B is about the image identity rather than support/resolution for RHEL7.
techqa_DEV_Q093#row-0154,PARTIAL,UNAVAILABLE,A_BETTER,MISSING_REQUIRED_FACT,ABSTAIN,A gives a relevant scan outcome but omits the required scanner version/fix link.
techqa_DEV_Q096#row-0127,PARTIAL,CORRECT,B_BETTER,MISSING_REQUIRED_FACT,SUPPORTED,A gives one useful diagnostic path; B covers abnormal recovery and the documented fixes.
techqa_DEV_Q101#row-0070,UNAVAILABLE,CORRECT,B_BETTER,ABSTAIN,SUPPORTED,B provides affected products and remediation references for the requested bulletin.
techqa_DEV_Q103#row-0139,CORRECT,CORRECT,TIE,SUPPORTED,SUPPORTED,Both provide the timeout property and configuration path.
