occurrence_id,case_id,raw_literal,normalized_value,type,span_start,span_end,nested_inside_occurrence_id,expected_extraction_status,expected_role,v5_extraction_status,v6_extraction_status,v5_role,v6_role,v5_correct,v6_correct,same_value_sibling_count,type_differs_from_sibling,change_type,safety_effect
V01.O1,V01,Version 8.1.2,version,VERSION,0,13,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,2,False,UNCHANGED_SAFE,SAFE
V01.O2,V01,version 8.1,version,VERSION,32,43,,INDEPENDENT,SKIP_REJECTED_PREMISE,PRESENT,PRESENT,SKIP,SKIP,True,True,2,False,UNCHANGED_SAFE,SAFE
V02.O1,V02,2.10.3,2.10.3,VERSION,21,27,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V02.O2,V02,2.10,2.10,VERSION,52,56,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V03.O1,V03,10.2.1,10.2.1,VERSION,8,14,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V03.O2,V03,10.2,10.2,VERSION,46,50,,INDEPENDENT,SKIP_REJECTED_PREMISE,PRESENT,PRESENT,VALIDATE,VALIDATE,False,False,1,False,OTHER,UNSAFE_OR_MISSED
V04.O1,V04,v3.4.5,v3.4.5,VERSION,25,31,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V04.O2,V04,version 3,version,NUMBER,63,72,,INDEPENDENT,VALIDATE,MISSING,MISSING,VALIDATE,VALIDATE,False,False,1,False,OTHER,UNSAFE_OR_MISSED
V05.O1,V05,1.2.0,1.2.0,VERSION,17,22,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V05.O2,V05,1.2,1.2,VERSION,28,31,,INDEPENDENT,SKIP_REJECTED_PREMISE,PRESENT,PRESENT,SKIP,SKIP,True,True,1,False,UNCHANGED_SAFE,SAFE
V06.O1,V06,7.0.1,7.0.1,VERSION,16,21,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V06.O2,V06,7.0,7.0,VERSION,47,50,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V07.O1,V07,12.4.9,12.4.9,VERSION,19,25,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V07.O2,V07,12.4,12.4,VERSION,42,46,,INDEPENDENT,SKIP_REJECTED_PREMISE,PRESENT,PRESENT,VALIDATE,VALIDATE,False,False,1,False,OTHER,UNSAFE_OR_MISSED
V08.O1,V08,4.5.6,4.5.6,VERSION,20,25,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V08.O2,V08,4.5,4.5,VERSION,57,60,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V09.O1,V09,3.0.0,3.0.0,VERSION,12,17,,INDEPENDENT,VALIDATE,PRESENT,PRESENT,VALIDATE,VALIDATE,True,True,1,False,UNCHANGED_SAFE,SAFE
V09.O2,V09,3.0,3.0,VERSION,40,43,,INDEPENDENT,SKIP_REJECTED_PREMISE,PRESENT,PRESENT,VALIDATE,VALIDATE,False,False,1,False,OTHER,UNSAFE_OR_MISSED
V10.O1,V10,9.x,9.x,NUMBER,24,27,,INDEPENDENT,VALIDATE,MISSING,MISSING,VALIDATE,VALIDATE,False,False,1,False,OTHER,UNSAFE_OR_MISSED
V10.O2,V10,9.1.2,9.1.2,VERSION,46,51,,INDEPENDENT,VALIDATE,MISSING,MISSING,VALIDATE,VALIDATE,False,False,1,False,OTHER,UNSAFE_OR_MISSED
