query_id,arm,case_count,baseline_reject,candidate_reject,baseline_adjudication,candidate_adjudication,baseline_forced_abstain_proxy,candidate_forced_abstain_proxy,baseline_outcomes,candidate_outcomes,change_reason
emanual_1#row-0023,DEV,4,False,False,FALSE_POSITIVE,FALSE_POSITIVE,True,True,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED
emanual_539#row-0027,DEV,1,True,True,INDETERMINATE,INDETERMINATE,False,False,INDETERMINATE,INDETERMINATE,UNCHANGED
emanual_558#row-0032,DEV,1,True,True,INDETERMINATE,INDETERMINATE,False,False,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED
emanual_645#row-0051,DEV,1,True,True,INDETERMINATE,INDETERMINATE,False,False,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED
emanual_645#row-0117,DEV,1,True,True,INDETERMINATE,INDETERMINATE,False,False,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED
synthetic_identifier,DEV,4,True,True,"FALSE_POSITIVE,TRUE_CONFLICT","FALSE_POSITIVE,TRUE_CONFLICT",False,False,"DIRECT_CONFLICT,SUPPORTED","DIRECT_CONFLICT,SUPPORTED",UNCHANGED
synthetic_negative,DEV,2,True,True,"INDETERMINATE,TRUE_CONFLICT","INDETERMINATE,TRUE_CONFLICT",False,False,"DIRECT_CONFLICT,SUPPORTED","DIRECT_CONFLICT,SUPPORTED",UNCHANGED
synthetic_numeric,DEV,4,True,True,"FALSE_POSITIVE,TRUE_CONFLICT","FALSE_POSITIVE,TRUE_CONFLICT",True,False,"DIRECT_CONFLICT,INDETERMINATE","DIRECT_CONFLICT,SUPPORTED",KNOWN_FALSE_POSITIVE_REJECTION_REMOVED
synthetic_segmentation,DEV,2,True,True,"FALSE_POSITIVE,TRUE_CONFLICT","FALSE_POSITIVE,TRUE_CONFLICT",False,False,"DIRECT_CONFLICT,SUPPORTED","DIRECT_CONFLICT,SUPPORTED",UNCHANGED
synthetic_version,DEV,3,True,True,"FALSE_POSITIVE,TRUE_CONFLICT","FALSE_POSITIVE,TRUE_CONFLICT",True,False,"DIRECT_CONFLICT,INDETERMINATE","DIRECT_CONFLICT,SUPPORTED",KNOWN_FALSE_POSITIVE_REJECTION_REMOVED
