occurrence_id,case_id,category,raw_literal,normalized_value,type,span_start,span_end,expected_label,v4_behavior,v5_behavior,v4_correct,v5_correct,same_value_sibling_count,type_differs_from_sibling,query_echo,evidence_contains_value,supported_alternative_present,change_type,safety_effect
C41.O1,C41,AMBIGUOUS_SIBLING,30,30,NUMBER,0,2,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,True,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C41.O2,C41,AMBIGUOUS_SIBLING,30 days,30,DURATION,45,52,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,2,True,False,True,False,UNCHANGED_SAFE,SAFE
C42.O1,C42,AMBIGUOUS_SIBLING,100,100,NUMBER,0,3,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C42.O2,C42,AMBIGUOUS_SIBLING,100,100,NUMBER,18,21,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C43.O1,C43,AMBIGUOUS_VERSION_SIBLING,8.1.2,8.1.2,VERSION,0,5,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C43.O2,C43,AMBIGUOUS_VERSION_SIBLING,8.1.2,8.1.2,VERSION,20,25,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C44.O1,C44,AMBIGUOUS_PERCENTAGE_SIBLING,10%,10,PERCENTAGE,0,3,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C44.O2,C44,AMBIGUOUS_PERCENTAGE_SIBLING,10%,10,PERCENTAGE,39,42,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C45.O1,C45,AMBIGUOUS,30,30,NUMBER,0,2,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C45.O2,C45,AMBIGUOUS,90,90,NUMBER,6,8,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C46.O1,C46,AMBIGUOUS_COMPARISON,100,100,NUMBER,11,14,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C46.O2,C46,AMBIGUOUS_COMPARISON,120,120,NUMBER,19,22,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C47.O1,C47,AMBIGUOUS_CORRECTION,30 day,30,DURATION,14,20,AMBIGUOUS_KEEP_VALIDATING,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C47.O2,C47,AMBIGUOUS_CORRECTION,90 days,90,DURATION,47,54,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
