case_id,category,critical_value_type,polarity_class,expected_class,expected_behavior,outcome,correct,pass,forced_abstain,reason_class,failure_codes,arm,details_json
P01,POSITIVE_ASSERTION,NUMBER,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,True,True,False,CRITICAL_VALUE_SUPPORTED,[],V3_REPRODUCTION,"{""answer_critical_tokens"": [{""end"": 23, ""kind"": ""NUMBER"", ""local_context"": ""The Nimbus limit is 120 requests per minute."", ""start"": 20, ""unit"": null, ""value"": ""120""}], ""baseline_duration_ms"": 0.05, ""critical_value_count"": 1, ""critical_value_type"": ""NUMBER"", ""duration_ms"": 0.346, ""failure_codes"": [], ""forced_abstain"": false, ""identifier_reject"": false, ""indeterminate"": false, ""locale_ambiguity"": false, ""pass"": true, ""shadow_disagreement"": null, ""shadow_enabled"": false, ""shadow_error"": false, ""shadow_error_class"": null, ""shadow_v3_duration_ms"": 0.0, ""shadow_v3_outcome"": null, ""shadow_v3_reason_class"": null, ""status"": ""CRITICAL_VALUE_SUPPORTED"", ""token_traces"": [{""answer_critical_token"": {""end"": 23, ""kind"": ""NUMBER"", ""local_context"": ""The Nimbus limit is 120 requests per minute."", ""start"": 20, ""unit"": null, ""value"": ""120""}, ""answer_local_context"": ""The Nimbus limit is 120 requests per minute."", ""per_support"": [{""matching_local_context"": [""The Nimbus limit is 120 requests per minute.""], ""relation"": ""DIRECT_SUPPORT"", ""support_critical_tokens"": [{""end"": 23, ""kind"": ""NUMBER"", ""local_context"": ""The Nimbus limit is 120 requests per minute."", ""relation"": ""DIRECT_SUPPORT"", ""start"": 20, ""unit"": null, ""value"": ""120""}], ""support_index"": 0}], ""status"": ""DIRECT_SUPPORT""}], ""validator_outcome"": ""PASS"", ""validator_reason_class"": ""CRITICAL_VALUE_SUPPORTED"", ""validator_version"": ""v3"", ""version_ambiguity"": false, ""version_specificity_reject"": false}"
P02,POSITIVE_ASSERTION,DURATION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,True,True,False,CRITICAL_VALUE_SUPPORTED,[],V3_REPRODUCTION,"{""answer_critical_tokens"": [{""end"": 31, ""kind"": ""DURATION"", ""local_context"": ""The token expires after 90 days."", ""start"": 24, ""unit"": ""day"", ""value"": ""90""}], ""baseline_duration_ms"": 0.029, ""critical_value_count"": 1, ""critical_value_type"": ""DURATION"", ""duration_ms"": 0.073, ""failure_codes"": [], ""forced_abstain"": false, ""identifier_reject"": false, ""indeterminate"": false, ""locale_ambiguity"": false, ""pass"": true, ""shadow_disagreement"": null, ""shadow_enabled"": false, ""shadow_error"": false, ""shadow_error_class"": null, ""shadow_v3_duration_ms"": 0.0, ""shadow_v3_outcome"": null, ""shadow_v3_reason_class"": null, ""status"": ""CRITICAL_VALUE_SUPPORTED"", ""token_traces"": [{""answer_critical_token"": {""end"": 31, ""kind"": ""DURATION"", ""local_context"": ""The token expires after 90 days."", ""start"": 24, ""unit"": ""day"", ""value"": ""90""}, ""answer_local_context"": ""The token expires after 90 days."", ""per_support"": [{""matching_local_context"": [""The token expires after 90 days.""], ""relation"": ""DIRECT_SUPPORT"", ""support_critical_tokens"": [{""end"": 31, ""kind"": ""DURATION"", ""local_context"": ""The token expires after 90 days."", ""relation"": ""DIRECT_SUPPORT"", ""start"": 24, ""unit"": ""day"", ""value"": ""90""}], ""support_index"": 0}], ""status"": ""DIRECT_SUPPORT""}], ""validator_outcome"": ""PASS"", ""validator_reason_class"": ""CRITICAL_VALUE_SUPPORTED"", ""validator_version"": ""v3"", ""version_ambiguity"": false, ""version_specificity_reject"": false}"
P03,POSITIVE_ASSERTION,PERCENTAGE,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,True,True,False,CRITICAL_VALUE_SUPPORTED,[],V3_REPRODUCTION,"{""answer_critical_tokens"": [{""end"": 25, ""kind"": ""PERCENTAGE"", ""local_context"": ""The success rate is 99.5%."", ""start"": 20, ""unit"": ""%"", ""value"": ""99.5""}], ""baseline_duration_ms"": 0.029, ""critical_value_count"": 1, ""critical_value_type"": ""PERCENTAGE"", ""duration_ms"": 0.314, ""failure_codes"": [], ""forced_abstain"": false, ""identifier_reject"": false, ""indeterminate"": false, ""locale_ambiguity"": false, ""pass"": true, ""shadow_disagreement"": null, ""shadow_enabled"": false, ""shadow_error"": false, ""shadow_error_class"": null, ""shadow_v3_duration_ms"": 0.0, ""shadow_v3_outcome"": null, ""shadow_v3_reason_class"": null, ""status"": ""CRITICAL_VALUE_SUPPORTED"", ""token_traces"": [{""answer_critical_token"": {""end"": 25, ""kind"": ""PERCENTAGE"", ""local_context"": ""The success rate is 99.5%."", ""start"": 20, ""unit"": ""%"", ""value"": ""99.5""}, ""answer_local_context"": ""The success rate is 99.5%."", ""per_support"": [{""matching_local_context"": [""The success rate is 99.5%.""], ""relation"": ""DIRECT_SUPPORT"", ""support_critical_tokens"": [{""end"": 25, ""kind"": ""PERCENTAGE"", ""local_context"": ""The success rate is 99.5%."", ""relation"": ""DIRECT_SUPPORT"", ""start"": 20, ""unit"": ""%"", ""value"": ""99.5""}], ""support_index"": 0}], ""status"": ""DIRECT_SUPPORT""}], ""validator_outcome"": ""PASS"", ""validator_reason_class"": ""CRITICAL_VALUE_SUPPORTED"", ""validator_version"": ""v3"", ""version_ambiguity"": false, ""version_specificity_reject"": false}"
P04,POSITIVE_ASSERTION,DATE,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,True,True,False,CRITICAL_VALUE_SUPPORTED,[],V3_REPRODUCTION,"{""answer_critical_tokens"": [{""end"": 30, ""kind"": ""DATE"", ""local_context"": ""The release date is 2024-03-01."", ""start"": 20, ""unit"": null, ""value"": ""2024-03-01""}], ""baseline_duration_ms"": 0.028, ""critical_value_count"": 1, ""critical_value_type"": ""DATE"", ""duration_ms"": 0.076, ""failure_codes"": [], ""forced_abstain"": false, ""identifier_reject"": false, ""indeterminate"": false, ""locale_ambiguity"": false, ""pass"": true, ""shadow_disagreement"": null, ""shadow_enabled"": false, ""shadow_error"": false, ""shadow_error_class"": null, ""shadow_v3_duration_ms"": 0.0, ""shadow_v3_outcome"": null, ""shadow_v3_reason_class"": null, ""status"": ""CRITICAL_VALUE_SUPPORTED"", ""token_traces"": [{""answer_critical_token"": {""end"": 30, ""kind"": ""DATE"", ""local_context"": ""The release date is 2024-03-01."", ""start"": 20, ""unit"": null, ""value"": ""2024-03-01""}, ""answer_local_context"": ""The release date is 2024-03-01."", ""per_support"": [{""matching_local_context"": [""The release date is 2024-03-01.""], ""relation"": ""DIRECT_SUPPORT"", ""support_critical_tokens"": [{""end"": 30, ""kind"": ""DATE"", ""local_context"": ""The release date is 2024-03-01."", ""relation"": ""DIRECT_SUPPORT"", ""start"": 20, ""unit"": null, ""value"": ""2024-03-01""}], ""support_index"": 0}], ""status"": ""DIRECT_SUPPORT""}], ""validator_outcome"": ""PASS"", ""validator_reason_class"": ""CRITICAL_VALUE_SUPPORTED"", ""validator_version"": ""v3"", ""version_ambiguity"": false, ""version_specificity_reject"": false}"
P05,POSITIVE_ASSERTION,VERSION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,True,True,False,CRITICAL_VALUE_SUPPORTED,[],V3_REPRODUCTION,"{""answer_critical_tokens"": [{""end"": 30, ""kind"": ""VERSION"", ""local_context"": ""The supported version is 8.1.2."", ""start"": 25, ""unit"": null, ""value"": ""8.1.2""}], ""baseline_duration_ms"": 0.025, ""critical_value_count"": 1, ""critical_value_type"": ""VERSION"", ""duration_ms"": 0.169, ""failure_codes"": [], ""forced_abstain"": false, ""identifier_reject"": false, ""indeterminate"": false, ""locale_ambiguity"": false, ""pass"": true, ""shadow_disagreement"": null, ""shadow_enabled"": false, ""shadow_error"": false, ""shadow_error_class"": null, ""shadow_v3_duration_ms"": 0.0, ""shadow_v3_outcome"": null, ""shadow_v3_reason_class"": null, ""status"": ""CRITICAL_VALUE_SUPPORTED"", ""token_traces"": [{""answer_critical_token"": {""end"": 30, ""kind"": ""VERSION"", ""local_context"": ""The supported version is 8.1.2."", ""start"": 25, ""unit"": null, ""value"": ""8.1.2""}, ""answer_local_context"": ""The supported version is 8.1.2."", ""per_support"": [{""matching_local_context"": [""The supported version is 8.1.2.""], ""relation"": ""DIRECT_SUPPORT"", ""support_critical_tokens"": [{""end"": 30, ""kind"": ""VERSION"", ""local_context"": ""The supported version is 8.1.2."", ""relation"": ""DIRECT_SUPPORT"", ""start"": 25, ""unit"": null, ""value"": ""8.1.2""}], ""support_index"": 0}], ""status"": ""DIRECT_SUPPORT""}], ""validator_outcome"": ""PASS"", ""validator_reason_class"": ""CRITICAL_VALUE_SUPPORTED"", ""validator_version"": ""v3"", ""version_ambiguity"": false, ""version_specificity_reject"": false}"
P06,POSITIVE_ASSERTION,IDENTIFIER,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,True,True,False,CRITICAL_VALUE_SUPPORTED,[],V3_REPRODUCTION,"{""answer_critical_tokens"": [{""end"": 15, ""kind"": ""NUMBER"", ""local_context"": ""SQLCODE is -204."", ""start"": 12, ""unit"": null, ""value"": ""204""}], ""baseline_duration_ms"": 0.024, ""critical_value_count"": 1, ""critical_value_type"": ""NUMBER"", ""duration_ms"": 0.044, ""failure_codes"": [], ""forced_abstain"": false, ""identifier_reject"": false, ""indeterminate"": false, ""locale_ambiguity"": false, ""pass"": true, ""shadow_disagreement"": null, ""shadow_enabled"": false, ""shadow_error"": false, ""shadow_error_class"": null, ""shadow_v3_duration_ms"": 0.0, ""shadow_v3_outcome"": null, ""shadow_v3_reason_class"": null, ""status"": ""CRITICAL_VALUE_SUPPORTED"", ""token_traces"": [{""answer_critical_token"": {""end"": 15, ""kind"": ""NUMBER"", ""local_context"": ""SQLCODE is -204."", ""start"": 12, ""unit"": null, ""value"": ""204""}, ""answer_local_context"": ""SQLCODE is -204."", ""per_support"": [{""matching_local_context"": [""The documented error is SQLCODE -204.""], ""relation"": ""DIRECT_SUPPORT"", ""support_critical_tokens"": [{""end"": 36, ""kind"": ""NUMBER"", ""local_context"": ""The documented error is SQLCODE -204."", ""relation"": ""DIRECT_SUPPORT"", ""start"": 33, ""unit"": null, ""value"": ""204""}], ""support_index"": 0}], ""status"": ""DIRECT_SUPPORT""}], ""validator_outcome"": ""PASS"", ""validator_reason_class"": ""CRITICAL_VALUE_SUPPORTED"", ""validator_version"": ""v3"", ""version_ambiguity"": false, ""version_specificity_reject"": false}"
P07,POSITIVE_ASSERTION,IDENTIFIER,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,True,True,False,CRITICAL_VALUE_SUPPORTED,[],V3_REPRODUCTION,"{""answer_critical_tokens"": [{""end"": 21, ""kind"": ""NUMBER"", ""local_context"": ""The issue is CVE-2024-1234."", ""start"": 17, ""unit"": null, ""value"": ""2024""}, {""end"": 26, ""kind"": ""NUMBER"", ""local_context"": ""The issue is CVE-2024-1234."", ""start"": 22, ""unit"": null, ""value"": ""1234""}], ""baseline_duration_ms"": 0.043, ""critical_value_count"": 2, ""critical_value_type"": ""IDENTIFIER"", ""duration_ms"": 0.084, ""failure_codes"": [], ""forced_abstain"": false, ""identifier_reject"": false, ""indeterminate"": false, ""locale_ambiguity"": false, ""pass"": true, ""shadow_disagreement"": null, ""shadow_enabled"": false, ""shadow_error"": false, ""shadow_error_class"": null, ""shadow_v3_duration_ms"": 0.0, ""shadow_v3_outcome"": null, ""shadow_v3_reason_class"": null, ""status"": ""CRITICAL_VALUE_SUPPORTED"", ""token_traces"": [{""answer_critical_token"": {""end"": 21, ""kind"": ""NUMBER"", ""local_context"": ""The issue is CVE-2024-1234."", ""start"": 17, ""unit"": null, ""value"": ""2024""}, ""answer_local_context"": ""The issue is CVE-2024-1234."", ""per_support"": [{""matching_local_context"": [""The issue is CVE-2024-1234.""], ""relation"": ""DIRECT_SUPPORT"", ""support_critical_tokens"": [{""end"": 21, ""kind"": ""NUMBER"", ""local_context"": ""The issue is CVE-2024-1234."", ""relation"": ""DIRECT_SUPPORT"", ""start"": 17, ""unit"": null, ""value"": ""2024""}, {""end"": 26, ""kind"": ""NUMBER"", ""local_context"": ""The issue is CVE-2024-1234."", ""relation"": ""DIRECT_CONFLICT"", ""start"": 22, ""unit"": null, ""value"": ""1234""}], ""support_index"": 0}], ""status"": ""DIRECT_SUPPORT""}, {""answer_critical_token"": {""end"": 26, ""kind"": ""NUMBER"", ""local_context"": ""The issue is CVE-2024-1234."", ""start"": 22, ""unit"": null, ""value"": ""1234""}, ""answer_local_context"": ""The issue is CVE-2024-1234."", ""per_support"": [{""matching_local_context"": [""The issue is CVE-2024-1234.""], ""relation"": ""DIRECT_SUPPORT"", ""support_critical_tokens"": [{""end"": 21, ""kind"": ""NUMBER"", ""local_context"": ""The issue is CVE-2024-1234."", ""relation"": ""DIRECT_CONFLICT"", ""start"": 17, ""unit"": null, ""value"": ""2024""}, {""end"": 26, ""kind"": ""NUMBER"", ""local_context"": ""The issue is CVE-2024-1234."", ""relation"": ""DIRECT_SUPPORT"", ""start"": 22, ""unit"": null, ""value"": ""1234""}], ""support_index"": 0}], ""status"": ""DIRECT_SUPPORT""}], ""validator_outcome"": ""PASS"", ""validator_reason_class"": ""CRITICAL_VALUE_SUPPORTED"", ""validator_version"": ""v3"", ""version_ambiguity"": false, ""version_specificity_reject"": false}"
P08,POSITIVE_ASSERTION,NUMBER,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,True,False,True,CRITICAL_VALUE_DIRECT_CONFLICT,"[""CRITICAL_VALUE_DIRECT_CONFLICT""]",V3_REPRODUCTION,"{""answer_critical_tokens"": [{""end"": 22, ""kind"": ""NUMBER"", ""local_context"": ""The Nimbus limit is 77 requests per minute."", ""start"": 20, ""unit"": null, ""value"": ""77""}], ""baseline_duration_ms"": 0.03, ""critical_value_count"": 1, ""critical_value_type"": ""NUMBER"", ""duration_ms"": 0.105, ""failure_codes"": [""CRITICAL_VALUE_DIRECT_CONFLICT""], ""forced_abstain"": true, ""identifier_reject"": false, ""indeterminate"": false, ""locale_ambiguity"": false, ""pass"": false, ""shadow_disagreement"": null, ""shadow_enabled"": false, ""shadow_error"": false, ""shadow_error_class"": null, ""shadow_v3_duration_ms"": 0.0, ""shadow_v3_outcome"": null, ""shadow_v3_reason_class"": null, ""status"": ""CRITICAL_VALUE_DIRECT_CONFLICT"", ""token_traces"": [{""answer_critical_token"": {""end"": 22, ""kind"": ""NUMBER"", ""local_context"": ""The Nimbus limit is 77 requests per minute."", ""start"": 20, ""unit"": null, ""value"": ""77""}, ""answer_local_context"": ""The Nimbus limit is 77 requests per minute."", ""per_support"": [{""matching_local_context"": [], ""relation"": ""DIRECT_CONFLICT"", ""support_critical_tokens"": [{""end"": 23, ""kind"": ""NUMBER"", ""local_context"": ""The Nimbus limit is 120 requests per minute."", ""relation"": ""DIRECT_CONFLICT"", ""start"": 20, ""unit"": null, ""value"": ""120""}], ""support_index"": 0}], ""status"": ""DIRECT_CONFLICT""}], ""validator_outcome"": ""REJECT"", ""validator_reason_class"": ""CRITICAL_VALUE_DIRECT_CONFLICT"", ""validator_version"": ""v3"", ""version_ambiguity"": false, ""version_specificity_reject"": false}"
P09,POSITIVE_ASSERTION,VERSION,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,True,False,True,CRITICAL_VALUE_DIRECT_CONFLICT,"[""CRITICAL_VALUE_DIRECT_CONFLICT""]",V3_REPRODUCTION,"{""answer_critical_tokens"": [{""end"": 30, ""kind"": ""VERSION"", ""local_context"": ""The supported version is 8.1.2."", ""start"": 25, ""unit"": null, ""value"": ""8.1.2""}], ""baseline_duration_ms"": 0.024, ""critical_value_count"": 1, ""critical_value_type"": ""VERSION"", ""duration_ms"": 0.048, ""failure_codes"": [""CRITICAL_VALUE_DIRECT_CONFLICT""], ""forced_abstain"": true, ""identifier_reject"": false, ""indeterminate"": false, ""locale_ambiguity"": false, ""pass"": false, ""shadow_disagreement"": null, ""shadow_enabled"": false, ""shadow_error"": false, ""shadow_error_class"": null, ""shadow_v3_duration_ms"": 0.0, ""shadow_v3_outcome"": null, ""shadow_v3_reason_class"": null, ""status"": ""CRITICAL_VALUE_DIRECT_CONFLICT"", ""token_traces"": [{""answer_critical_token"": {""end"": 30, ""kind"": ""VERSION"", ""local_context"": ""The supported version is 8.1.2."", ""start"": 25, ""unit"": null, ""value"": ""8.1.2""}, ""answer_local_context"": ""The supported version is 8.1.2."", ""per_support"": [{""matching_local_context"": [], ""relation"": ""DIRECT_CONFLICT"", ""support_critical_tokens"": [{""end"": 30, ""kind"": ""VERSION"", ""local_context"": ""The supported version is 8.1.3."", ""relation"": ""DIRECT_CONFLICT"", ""start"": 25, ""unit"": null, ""value"": ""8.1.3""}], ""support_index"": 0}], ""status"": ""DIRECT_CONFLICT""}], ""validator_outcome"": ""REJECT"", ""validator_reason_class"": ""CRITICAL_VALUE_DIRECT_CONFLICT"", ""validator_version"": ""v3"", ""version_ambiguity"": false, ""version_specificity_reject"": true}"
P10,POSITIVE_ASSERTION,DURATION,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,True,False,True,CRITICAL_VALUE_DIRECT_CONFLICT,"[""CRITICAL_VALUE_DIRECT_CONFLICT""]",V3_REPRODUCTION,"{""answer_critical_tokens"": [{""end"": 31, ""kind"": ""DURATION"", ""local_context"": ""The token expires after 30 days."", ""start"": 24, ""unit"": ""day"", ""value"": ""30""}], ""baseline_duration_ms"": 0.022, ""critical_value_count"": 1, ""critical_value_type"": ""DURATION"", ""duration_ms"": 0.081, ""failure_codes"": [""CRITICAL_VALUE_DIRECT_CONFLICT""], ""forced_abstain"": true, ""identifier_reject"": false, ""indeterminate"": false, ""locale_ambiguity"": false, ""pass"": false, ""shadow_disagreement"": null, ""shadow_enabled"": false, ""shadow_error"": false, ""shadow_error_class"": null, ""shadow_v3_duration_ms"": 0.0, ""shadow_v3_outcome"": null, ""shadow_v3_reason_class"": null, ""status"": ""CRITICAL_VALUE_DIRECT_CONFLICT"", ""token_traces"": [{""answer_critical_token"": {""end"": 31, ""kind"": ""DURATION"", ""local_context"": ""The token expires after 30 days."", ""start"": 24, ""unit"": ""day"", ""value"": ""30""}, ""answer_local_context"": ""The token expires after 30 days."", ""per_support"": [{""matching_local_context"": [], ""relation"": ""DIRECT_CONFLICT"", ""support_critical_tokens"": [{""end"": 31, ""kind"": ""DURATION"", ""local_context"": ""The token expires after 90 days."", ""relation"": ""DIRECT_CONFLICT"", ""start"": 24, ""unit"": ""day"", ""value"": ""90""}], ""support_index"": 0}], ""status"": ""DIRECT_CONFLICT""}], ""validator_outcome"": ""REJECT"", ""validator_reason_class"": ""CRITICAL_VALUE_DIRECT_CONFLICT"", ""validator_version"": ""v3"", ""version_ambiguity"": false, ""version_specificity_reject"": false}"
