occurrence_id,case_id,category,raw_literal,normalized_value,type,span_start,span_end,expected_label,v4_behavior,v5_behavior,v4_correct,v5_correct,same_value_sibling_count,type_differs_from_sibling,query_echo,evidence_contains_value,supported_alternative_present,change_type,safety_effect
C01.O1,C01,SINGLE_POSITIVE,30 seconds,30,DURATION,15,25,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C01.O2,C01,SINGLE_POSITIVE,5,5,NUMBER,49,50,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C02.O1,C02,NEGATED_FACT,30 seconds,30,DURATION,19,29,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C02.O2,C02,NEGATED_FACT,60 seconds,60,DURATION,57,67,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C03.O1,C03,QUERY_ECHO_FACT,100,100,NUMBER,13,16,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C03.O2,C03,QUERY_ECHO_FACT,120,120,NUMBER,20,23,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C03.O3,C03,QUERY_ECHO_FACT,100,100,NUMBER,25,28,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C03.O4,C03,QUERY_ECHO_FACT,120,120,NUMBER,43,46,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C04.O1,C04,QUERY_VALUE_CORRECT,120,120,NUMBER,13,16,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C04.O2,C04,QUERY_VALUE_CORRECT,120,120,NUMBER,31,34,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C05.O1,C05,QUOTED_ASSERTION,90 days,90,DURATION,24,31,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C05.O2,C05,QUOTED_ASSERTION,90 days,90,DURATION,58,65,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C06.O1,C06,COMPARISON,120,120,NUMBER,0,3,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C06.O2,C06,COMPARISON,100,100,NUMBER,20,23,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C07.O1,C07,MULTI_FACT,100,100,NUMBER,18,21,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C07.O2,C07,MULTI_FACT,120,120,NUMBER,47,50,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C08.O1,C08,VERSION_POSITIVE,8.1.2,8.1.2,VERSION,25,30,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C08.O2,C08,VERSION_POSITIVE,8.1.2,8.1.2,VERSION,51,56,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C09.O1,C09,SIGNED_IDENTIFIER,204,204,NUMBER,29,32,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C09.O2,C09,SIGNED_IDENTIFIER,204,204,NUMBER,71,74,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
