case_id,expected_class,baseline,v1,v2,baseline_reason,v1_reason,v2_reason,changed_v1_to_v2,safety_effect
V2-TC-01,TRUE_CONFLICT,REJECT,REJECT,REJECT,DIRECT_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,False,UNCHANGED
V2-TC-02,TRUE_CONFLICT,ACCEPT,ACCEPT,REJECT,DIRECT_SUPPORT,DIRECT_SUPPORT,DIRECT_CONFLICT,True,V2_CHANGED
V2-TC-03,TRUE_CONFLICT,REJECT,REJECT,REJECT,DIRECT_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,False,UNCHANGED
V2-TC-04,TRUE_CONFLICT,REJECT,REJECT,REJECT,DIRECT_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,False,UNCHANGED
V2-TC-05,TRUE_CONFLICT,REJECT,REJECT,REJECT,DIRECT_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,False,UNCHANGED
V2-TC-06,TRUE_CONFLICT,REJECT,REJECT,REJECT,DIRECT_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,False,UNCHANGED
V2-TC-07,TRUE_CONFLICT,REJECT,REJECT,REJECT,DIRECT_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,False,UNCHANGED
V2-TC-08,TRUE_CONFLICT,ACCEPT,REJECT,REJECT,DIRECT_SUPPORT,DIRECT_CONFLICT,DIRECT_CONFLICT,False,UNCHANGED
V2-EQ-01,EQUIVALENT_PASS,REJECT,ACCEPT,ACCEPT,DIRECT_CONFLICT,DIRECT_SUPPORT,DIRECT_SUPPORT,False,UNCHANGED
V2-EQ-02,EQUIVALENT_PASS,REJECT,ACCEPT,ACCEPT,DIRECT_CONFLICT,DIRECT_SUPPORT,DIRECT_SUPPORT,False,UNCHANGED
V2-EQ-03,EQUIVALENT_PASS,REJECT,REJECT,ACCEPT,DIRECT_CONFLICT,DIRECT_CONFLICT,DIRECT_SUPPORT,True,V2_CHANGED
V2-EQ-04,EQUIVALENT_PASS,REJECT,REJECT,ACCEPT,DIRECT_CONFLICT,DIRECT_CONFLICT,DIRECT_SUPPORT,True,V2_CHANGED
V2-EQ-05,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,DIRECT_SUPPORT,DIRECT_SUPPORT,DIRECT_SUPPORT,False,UNCHANGED
V2-EQ-06,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,DIRECT_SUPPORT,DIRECT_SUPPORT,DIRECT_SUPPORT,False,UNCHANGED
V2-EQ-07,EQUIVALENT_PASS,INDETERMINATE,ACCEPT,ACCEPT,INDETERMINATE,DIRECT_SUPPORT,DIRECT_SUPPORT,False,UNCHANGED
V2-EQ-08,EQUIVALENT_PASS,INDETERMINATE,ACCEPT,ACCEPT,INDETERMINATE,DIRECT_SUPPORT,DIRECT_SUPPORT,False,UNCHANGED
V2-EQ-09,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,DIRECT_SUPPORT,DIRECT_SUPPORT,DIRECT_SUPPORT,False,UNCHANGED
V2-EQ-10,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,DIRECT_SUPPORT,DIRECT_SUPPORT,DIRECT_SUPPORT,False,UNCHANGED
V2-EQ-11,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,DIRECT_SUPPORT,DIRECT_SUPPORT,DIRECT_SUPPORT,False,UNCHANGED
V2-IND-01,INDETERMINATE,INDETERMINATE,ACCEPT,INDETERMINATE,INDETERMINATE,DIRECT_SUPPORT,INDETERMINATE,True,V1_UNSAFE_ACCEPTANCE_GUARDED
V2-IND-02,INDETERMINATE,INDETERMINATE,ACCEPT,INDETERMINATE,INDETERMINATE,DIRECT_SUPPORT,INDETERMINATE,True,V1_UNSAFE_ACCEPTANCE_GUARDED
V2-IND-03,INDETERMINATE,INDETERMINATE,ACCEPT,INDETERMINATE,INDETERMINATE,DIRECT_SUPPORT,INDETERMINATE,True,V1_UNSAFE_ACCEPTANCE_GUARDED
V2-IND-04,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,False,UNCHANGED
V2-IND-05,INDETERMINATE,INDETERMINATE,REJECT,REJECT,INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,False,UNCHANGED
V2-IND-06,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE,False,UNCHANGED
V2-SEC-01,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,UNKNOWN_SUPPORT_ID,UNKNOWN_SUPPORT_ID,UNKNOWN_SUPPORT_ID,False,UNCHANGED
V2-SEC-02,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,HIDDEN_SUPPORT_ID,HIDDEN_SUPPORT_ID,HIDDEN_SUPPORT_ID,False,UNCHANGED
V2-SEC-03,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,UNAUTHORIZED_SUPPORT_ID,UNAUTHORIZED_SUPPORT_ID,UNAUTHORIZED_SUPPORT_ID,False,UNCHANGED
V2-SEC-04,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,UNAUTHORIZED_SUPPORT_ID,UNAUTHORIZED_SUPPORT_ID,UNAUTHORIZED_SUPPORT_ID,False,UNCHANGED
V2-SEC-05,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,SECURITY_REJECT,UNKNOWN_SUPPORT_ID,UNKNOWN_SUPPORT_ID,UNKNOWN_SUPPORT_ID,False,UNCHANGED
