case_id,expected_class,decision,reason,security_class
V2-TC-01,TRUE_CONFLICT,REJECT,DIRECT_CONFLICT,NONE
V2-TC-02,TRUE_CONFLICT,REJECT,DIRECT_CONFLICT,NONE
V2-TC-03,TRUE_CONFLICT,REJECT,DIRECT_CONFLICT,NONE
V2-TC-04,TRUE_CONFLICT,REJECT,DIRECT_CONFLICT,NONE
V2-TC-05,TRUE_CONFLICT,REJECT,DIRECT_CONFLICT,NONE
V2-TC-06,TRUE_CONFLICT,REJECT,DIRECT_CONFLICT,NONE
V2-TC-07,TRUE_CONFLICT,REJECT,DIRECT_CONFLICT,NONE
V2-TC-08,TRUE_CONFLICT,REJECT,DIRECT_CONFLICT,NONE
V2-EQ-01,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-EQ-02,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-EQ-03,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-EQ-04,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-EQ-05,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-EQ-06,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-EQ-07,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-EQ-08,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-EQ-09,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-EQ-10,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-EQ-11,EQUIVALENT_PASS,ACCEPT,DIRECT_SUPPORT,NONE
V2-IND-01,INDETERMINATE,ACCEPT,DIRECT_SUPPORT,NONE
V2-IND-02,INDETERMINATE,INDETERMINATE,INDETERMINATE,NONE
V2-IND-03,INDETERMINATE,INDETERMINATE,INDETERMINATE,NONE
V2-IND-04,INDETERMINATE,INDETERMINATE,INDETERMINATE,NONE
V2-IND-05,INDETERMINATE,REJECT,DIRECT_CONFLICT,NONE
V2-IND-06,INDETERMINATE,INDETERMINATE,INDETERMINATE,NONE
V2-SEC-01,SECURITY_REJECT,SECURITY_REJECT,UNKNOWN_SUPPORT_ID,UNKNOWN_SUPPORT_ID
V2-SEC-02,SECURITY_REJECT,SECURITY_REJECT,HIDDEN_SUPPORT_ID,HIDDEN_SUPPORT_ID
V2-SEC-03,SECURITY_REJECT,SECURITY_REJECT,UNAUTHORIZED_SUPPORT_ID,UNAUTHORIZED_SUPPORT_ID
V2-SEC-04,SECURITY_REJECT,SECURITY_REJECT,UNAUTHORIZED_SUPPORT_ID,CROSS_TENANT_SUPPORT
V2-SEC-05,SECURITY_REJECT,SECURITY_REJECT,UNKNOWN_SUPPORT_ID,SPOOFED_SUPPORT_ID
