case_id,category,version_case_type,expected_class,baseline,v2,v3,baseline_correct,v2_correct,v3_correct,change_v2_to_v3,safety_effect,unsafe_locale,notes
V3-TC-01,TRUE_CONFLICT,EXACT,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,exact patch mismatch
V3-TC-02,TRUE_CONFLICT,EXACT,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,exact version mismatch
V3-TC-03,TRUE_CONFLICT,FAMILY_MAJOR,TRUE_CONFLICT,INDETERMINATE,REJECT,REJECT,False,True,True,UNCHANGED_CORRECT,NONE,False,incompatible major family
V3-TC-04,TRUE_CONFLICT,FAMILY_MINOR,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,incompatible minor family
V3-TC-05,TRUE_CONFLICT,EXACT,TRUE_CONFLICT,ACCEPT,ACCEPT,REJECT,False,False,True,FIXED,NONE,False,negative exact-version contradiction
V3-TC-06,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,integer mismatch
V3-TC-07,TRUE_CONFLICT,NONE,TRUE_CONFLICT,ACCEPT,REJECT,REJECT,False,True,True,UNCHANGED_CORRECT,NONE,False,signed mismatch
V3-TC-08,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,CVE mismatch
V3-TC-09,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,date mismatch
V3-TC-10,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,range mismatch
V3-TC-11,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,percentage mismatch
V3-TC-12,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,False,decimal mismatch
V3-EQ-01,EQUIVALENT_PASS,FAMILY_MAJOR,EQUIVALENT_PASS,INDETERMINATE,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,False,major family compatibility
V3-EQ-02,EQUIVALENT_PASS,FAMILY_MINOR,EQUIVALENT_PASS,REJECT,REJECT,ACCEPT,False,False,True,FAMILY_BROADENING_FIXED,NONE,False,minor family compatibility
V3-EQ-03,EQUIVALENT_PASS,FAMILY_MAJOR,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,False,wildcard family compatibility
