case_id,category,version_case_type,expected_class,baseline,v2,v3,baseline_correct,v2_correct,v3_correct,change_v2_to_v3,safety_effect,notes
V3-TC-01,TRUE_CONFLICT,EXACT,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,exact patch mismatch
V3-TC-02,TRUE_CONFLICT,EXACT,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,exact version mismatch
V3-TC-03,TRUE_CONFLICT,FAMILY_MAJOR,TRUE_CONFLICT,INDETERMINATE,REJECT,REJECT,False,True,True,UNCHANGED_CORRECT,NONE,incompatible major family
V3-TC-04,TRUE_CONFLICT,FAMILY_MINOR,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,incompatible minor family
V3-TC-05,TRUE_CONFLICT,EXACT,TRUE_CONFLICT,ACCEPT,ACCEPT,ACCEPT,False,False,False,UNCHANGED_WRONG,NONE,negative exact-version contradiction
V3-TC-06,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,integer mismatch
V3-TC-07,TRUE_CONFLICT,NONE,TRUE_CONFLICT,ACCEPT,REJECT,REJECT,False,True,True,UNCHANGED_CORRECT,NONE,signed mismatch
V3-TC-08,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,CVE mismatch
V3-TC-09,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,date mismatch
V3-TC-10,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,range mismatch
V3-TC-11,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,percentage mismatch
V3-TC-12,TRUE_CONFLICT,NONE,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,True,UNCHANGED_CORRECT,NONE,decimal mismatch
V3-EQ-01,EQUIVALENT_PASS,FAMILY_MAJOR,EQUIVALENT_PASS,INDETERMINATE,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,major family compatibility
V3-EQ-02,EQUIVALENT_PASS,FAMILY_MINOR,EQUIVALENT_PASS,REJECT,REJECT,ACCEPT,False,False,True,FAMILY_BROADENING_FIXED,NONE,minor family compatibility
V3-EQ-03,EQUIVALENT_PASS,FAMILY_MAJOR,EQUIVALENT_PASS,ACCEPT,ACCEPT,REJECT,True,True,False,NEW_REGRESSION,NONE,wildcard family compatibility
V3-EQ-04,EQUIVALENT_PASS,EXACT,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,leading-v exact formatting
V3-EQ-05,EQUIVALENT_PASS,EXACT,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,True,UNCHANGED_CORRECT,NONE,identical exact version
V3-EQ-06,EQUIVALENT_PASS,NONE,EQUIVALENT_PASS,REJECT,ACCEPT,ACCEPT,False,True,True,UNCHANGED_CORRECT,NONE,technical grouping
