query_id,on_semantic,off_semantic,on_critical_reject,off_critical_reject,on_forced_abstain,off_forced_abstain,on_validator_outcome,off_validator_outcome,transition,notes
techqa_DEV_Q008#row-0009,CORRECT,CORRECT,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q012#row-0133,PARTIAL,PARTIAL,False,True,False,False,NO_REJECT,FALSE_POSITIVE_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q018#row-0112,UNAVAILABLE,PARTIAL,True,True,True,False,MIXED_REJECTS,FALSE_POSITIVE_REJECT,ON_UNAVAILABLE_OFF_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q032#row-0062,CORRECT,CORRECT,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q035#row-0121,CORRECT,PARTIAL,False,True,False,False,NO_REJECT,MIXED_REJECTS,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q036#row-0037,PARTIAL,PARTIAL,False,True,False,False,NO_REJECT,INDETERMINATE_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q039#row-0060,PARTIAL,CORRECT,True,True,False,False,INDETERMINATE_REJECT,FALSE_POSITIVE_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q044#row-0033,UNAVAILABLE,UNAVAILABLE,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q047#row-0156,PARTIAL,CORRECT,True,True,False,False,INDETERMINATE_REJECT,INDETERMINATE_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q051#row-0039,CORRECT,CORRECT,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q077#row-0008,PARTIAL,PARTIAL,True,False,False,False,INDETERMINATE_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q085#row-0020,PARTIAL,UNAVAILABLE,False,False,False,False,NO_REJECT,NO_REJECT,ON_AVAILABLE_OFF_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q092#row-0027,UNAVAILABLE,UNAVAILABLE,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q095#row-0032,UNAVAILABLE,UNAVAILABLE,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q111#row-0130,PARTIAL,PARTIAL,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q112#row-0100,UNAVAILABLE,UNAVAILABLE,False,False,True,True,NO_REJECT,NO_REJECT,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q119#row-0077,PARTIAL,PARTIAL,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q126#row-0066,UNAVAILABLE,UNAVAILABLE,True,True,True,True,MIXED_REJECTS,INDETERMINATE_REJECT,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q129#row-0013,CORRECT,CORRECT,False,True,False,False,NO_REJECT,INDETERMINATE_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q146#row-0056,PARTIAL,CORRECT,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q149#row-0050,PARTIAL,PARTIAL,False,True,False,False,NO_REJECT,MIXED_REJECTS,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q157#row-0153,PARTIAL,PARTIAL,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q166#row-0119,CORRECT,INCORRECT,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q172#row-0018,UNAVAILABLE,UNAVAILABLE,False,False,False,False,NO_REJECT,NO_REJECT,BOTH_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q173#row-0147,INCORRECT,UNAVAILABLE,True,True,False,True,FALSE_POSITIVE_REJECT,FALSE_POSITIVE_REJECT,ON_AVAILABLE_OFF_UNAVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
techqa_DEV_Q174#row-0049,PARTIAL,PARTIAL,True,True,False,False,INDETERMINATE_REJECT,INDETERMINATE_REJECT,BOTH_AVAILABLE,Availability transition is descriptive; no counterfactual semantic score is assigned.
