case_id,expected_class,candidate,decision,reason,security_class
V3-TC-01,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-02,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-03,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-04,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-05,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-06,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-07,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-08,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-09,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-10,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-11,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-TC-12,TRUE_CONFLICT,V3_VERSION_SPECIFICITY_GUARD,REJECT,DIRECT_CONFLICT,NONE
V3-EQ-01,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-02,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-03,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-04,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-05,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-06,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-07,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-08,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-09,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-10,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-11,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-12,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-13,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-EQ-14,EQUIVALENT_PASS,V3_VERSION_SPECIFICITY_GUARD,ACCEPT,DIRECT_SUPPORT,NONE
V3-IND-01,INDETERMINATE,V3_VERSION_SPECIFICITY_GUARD,INDETERMINATE,INDETERMINATE,NONE
V3-IND-02,INDETERMINATE,V3_VERSION_SPECIFICITY_GUARD,INDETERMINATE,INDETERMINATE,NONE
V3-IND-03,INDETERMINATE,V3_VERSION_SPECIFICITY_GUARD,INDETERMINATE,INDETERMINATE,NONE
V3-IND-04,INDETERMINATE,V3_VERSION_SPECIFICITY_GUARD,INDETERMINATE,INDETERMINATE,NONE
V3-IND-05,INDETERMINATE,V3_VERSION_SPECIFICITY_GUARD,INDETERMINATE,INDETERMINATE,NONE
V3-IND-06,INDETERMINATE,V3_VERSION_SPECIFICITY_GUARD,INDETERMINATE,INDETERMINATE,NONE
V3-IND-07,INDETERMINATE,V3_VERSION_SPECIFICITY_GUARD,INDETERMINATE,INDETERMINATE,NONE
V3-IND-08,INDETERMINATE,V3_VERSION_SPECIFICITY_GUARD,INDETERMINATE,INDETERMINATE,NONE
V3-IND-09,INDETERMINATE,V3_VERSION_SPECIFICITY_GUARD,INDETERMINATE,INDETERMINATE,NONE
V3-SEC-01,SECURITY_REJECT,V3_VERSION_SPECIFICITY_GUARD,SECURITY_REJECT,UNKNOWN_SUPPORT_ID,UNKNOWN_SUPPORT_ID
V3-SEC-02,SECURITY_REJECT,V3_VERSION_SPECIFICITY_GUARD,SECURITY_REJECT,HIDDEN_SUPPORT_ID,HIDDEN_SUPPORT_ID
V3-SEC-03,SECURITY_REJECT,V3_VERSION_SPECIFICITY_GUARD,SECURITY_REJECT,UNAUTHORIZED_SUPPORT_ID,UNAUTHORIZED_SUPPORT_ID
V3-SEC-04,SECURITY_REJECT,V3_VERSION_SPECIFICITY_GUARD,SECURITY_REJECT,UNAUTHORIZED_SUPPORT_ID,CROSS_TENANT_SUPPORT
V3-SEC-05,SECURITY_REJECT,V3_VERSION_SPECIFICITY_GUARD,SECURITY_REJECT,UNKNOWN_SUPPORT_ID,SPOOFED_SUPPORT_ID
