case_id,category,polarity_class,expected_class,expected_behavior,v3_outcome,v4_outcome,v3_correct,v4_correct,v3_forced_abstain,v4_forced_abstain,change_type,safety_effect,notes
P01,POSITIVE_ASSERTION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,supported positive numeric claim
P02,POSITIVE_ASSERTION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P03,POSITIVE_ASSERTION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P04,POSITIVE_ASSERTION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P05,POSITIVE_ASSERTION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P06,POSITIVE_ASSERTION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P07,POSITIVE_ASSERTION,POSITIVE_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P08,POSITIVE_ASSERTION,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,unsupported positive numeric claim
P09,POSITIVE_ASSERTION,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
P10,POSITIVE_ASSERTION,POSITIVE_ASSERTION,TRUE_CONFLICT,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
C01,CORRECTIVE,CORRECTIVE_REFERENCE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C02,CORRECTIVE,CORRECTIVE_REFERENCE,EQUIVALENT_PASS,PASS,REJECT,REJECT,False,False,True,True,UNCHANGED_WRONG,NO_CHANGE,
C03,CORRECTIVE,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C04,CORRECTIVE,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
C05,CORRECTIVE,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C06,CORRECTIVE,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C07,CORRECTIVE,CORRECTIVE_REFERENCE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C08,CORRECTIVE,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C09,CORRECTIVE,CORRECTIVE_REFERENCE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C10,CORRECTIVE,REJECTED_PREMISE,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
C11,CORRECTIVE,CORRECTIVE_REFERENCE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C12,CORRECTIVE,CORRECTIVE_REFERENCE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C13,CORRECTIVE,CORRECTIVE_REFERENCE,EQUIVALENT_PASS,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
N01,NEGATED_ASSERTION,NEGATED_ASSERTION,EQUIVALENT_PASS,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
