case_id,category,polarity_class,expected_behavior,v3_outcome,v4_outcome,v3_correct,v4_correct,v3_forced_abstain,v4_forced_abstain,change_type,safety_effect,notes
P01,POSITIVE_ASSERTION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,supported positive numeric claim
P02,POSITIVE_ASSERTION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P03,POSITIVE_ASSERTION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P04,POSITIVE_ASSERTION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P05,POSITIVE_ASSERTION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P06,POSITIVE_ASSERTION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P07,POSITIVE_ASSERTION,POSITIVE_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
P08,POSITIVE_ASSERTION,POSITIVE_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,unsupported positive numeric claim
P09,POSITIVE_ASSERTION,POSITIVE_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
P10,POSITIVE_ASSERTION,POSITIVE_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
C01,CORRECTIVE,CORRECTIVE_REFERENCE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C02,CORRECTIVE,CORRECTIVE_REFERENCE,PASS,REJECT,REJECT,False,False,True,True,UNCHANGED_WRONG,NO_CHANGE,
C03,CORRECTIVE,REJECTED_PREMISE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C04,CORRECTIVE,REJECTED_PREMISE,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
C05,CORRECTIVE,REJECTED_PREMISE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C06,CORRECTIVE,REJECTED_PREMISE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C07,CORRECTIVE,CORRECTIVE_REFERENCE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C08,CORRECTIVE,REJECTED_PREMISE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C09,CORRECTIVE,CORRECTIVE_REFERENCE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C10,CORRECTIVE,REJECTED_PREMISE,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
C11,CORRECTIVE,CORRECTIVE_REFERENCE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
C12,CORRECTIVE,CORRECTIVE_REFERENCE,PASS,REJECT,REJECT,False,False,True,True,UNCHANGED_WRONG,NO_CHANGE,
C13,CORRECTIVE,CORRECTIVE_REFERENCE,PASS,REJECT,REJECT,False,False,True,True,UNCHANGED_WRONG,NO_CHANGE,
N01,NEGATED_ASSERTION,NEGATED_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
N02,NEGATED_ASSERTION,NEGATED_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
N03,NEGATED_ASSERTION,NEGATED_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
N04,NEGATED_ASSERTION,NEGATED_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,PASS,PASS,False,False,False,False,UNCHANGED_WRONG,NO_CHANGE,
N05,NEGATED_ASSERTION,NEGATED_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
N06,NEGATED_ASSERTION,NEGATED_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
N07,NEGATED_ASSERTION,NEGATED_ASSERTION,CONSERVATIVE_REJECT_OR_INDETERMINATE,PASS,PASS,False,False,False,False,UNCHANGED_WRONG,NO_CHANGE,
N08,NEGATED_ASSERTION,NEGATED_ASSERTION,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
M01,COMPARISON,COMPARISON_VALUE,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
M02,COMPARISON,COMPARISON_VALUE,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
M03,COMPARISON,COMPARISON_VALUE,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
M04,COMPARISON,COMPARISON_VALUE,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
M05,COMPARISON,REJECTED_PREMISE,PASS,REJECT,REJECT,False,False,True,True,UNCHANGED_WRONG,NO_CHANGE,
M06,COMPARISON,COMPARISON_VALUE,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
M07,COMPARISON,REJECTED_PREMISE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
M08,COMPARISON,REJECTED_PREMISE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
Q01,QUOTED_REPORTED,QUOTED_VALUE,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
Q02,QUOTED_REPORTED,QUOTED_VALUE,PASS,PASS,PASS,True,True,False,False,UNCHANGED_CORRECT,NO_CHANGE,
Q03,QUOTED_REPORTED,REJECTED_PREMISE,PASS,REJECT,REJECT,False,False,True,True,UNCHANGED_WRONG,NO_CHANGE,
Q04,QUOTED_REPORTED,REJECTED_PREMISE,PASS,REJECT,PASS,False,True,True,False,FIXED_CORRECTIVE_FALSE_CONFLICT,POLARITY_GUARD_EXPECTED,
Q05,QUOTED_REPORTED,QUOTED_VALUE,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
Q06,QUOTED_REPORTED,QUOTED_VALUE,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A01,AMBIGUOUS_POLARITY,UNKNOWN,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A02,AMBIGUOUS_POLARITY,UNKNOWN,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A03,AMBIGUOUS_POLARITY,UNKNOWN,CONSERVATIVE_REJECT_OR_INDETERMINATE,REJECT,REJECT,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A04,AMBIGUOUS_POLARITY,UNKNOWN,CONSERVATIVE_REJECT_OR_INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
A05,AMBIGUOUS_POLARITY,UNKNOWN,CONSERVATIVE_REJECT_OR_INDETERMINATE,INDETERMINATE,INDETERMINATE,True,True,True,True,UNCHANGED_CORRECT,NO_CHANGE,
