occurrence_id,case_id,category,raw_literal,normalized_value,type,span_start,span_end,expected_label,v4_behavior,v5_behavior,v4_correct,v5_correct,same_value_sibling_count,type_differs_from_sibling,query_echo,evidence_contains_value,supported_alternative_present,change_type,safety_effect
C51.O1,C51,REGRESSION_NEGATION,90 days,90,DURATION,32,39,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C51.O2,C51,REGRESSION_NEGATION,60 days,60,DURATION,65,72,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C52.O1,C52,REGRESSION_COMPARISON,120,120,NUMBER,0,3,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C52.O2,C52,REGRESSION_COMPARISON,100,100,NUMBER,20,23,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C52.O3,C52,REGRESSION_COMPARISON,120,120,NUMBER,49,52,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C53.O1,C53,REGRESSION_QUOTE,30 days,30,DURATION,14,21,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C53.O2,C53,REGRESSION_QUOTE,30 days,30,DURATION,44,51,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C54.O1,C54,REGRESSION_VERSION,8,8,NUMBER,32,33,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C54.O2,C54,REGRESSION_VERSION,8.1.2,8.1.2,VERSION,62,67,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C55.O1,C55,REGRESSION_IDENTIFIER,204,204,NUMBER,27,30,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C55.O2,C55,REGRESSION_IDENTIFIER,205,205,NUMBER,45,48,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C56.O1,C56,REGRESSION_LOCALE,"1,000",1.000,NUMBER,20,25,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C56.O2,C56,REGRESSION_LOCALE,1000 seconds,1000,DURATION,39,51,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C57.O1,C57,REGRESSION_SIGN,204,204,NUMBER,22,25,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C57.O2,C57,REGRESSION_SIGN,204,204,NUMBER,31,34,VALIDATE,VALIDATE,SKIP,True,False,2,False,False,True,False,UNSAFE_ASSERTION_SKIP,UNSAFE_OR_MISSED
C58.O1,C58,REGRESSION_VERSION_SPECIFICITY,8.1.2,8.1.2,VERSION,21,26,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C58.O2,C58,REGRESSION_VERSION_SPECIFICITY,8.1,8.1,VERSION,38,41,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
