case_id,category,version_case_type,expected_class,baseline,v2,v3,v2_correct,v3_correct,change_v2_to_v3,safety_effect,notes
V3-TC-01,TRUE_CONFLICT,EXACT,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,UNCHANGED_CORRECT,NONE,exact patch mismatch
V3-TC-02,TRUE_CONFLICT,EXACT,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,UNCHANGED_CORRECT,NONE,exact version mismatch
V3-TC-03,TRUE_CONFLICT,FAMILY_MAJOR,TRUE_CONFLICT,INDETERMINATE,REJECT,REJECT,True,True,UNCHANGED_CORRECT,NONE,incompatible major family
V3-TC-04,TRUE_CONFLICT,FAMILY_MINOR,TRUE_CONFLICT,REJECT,REJECT,REJECT,True,True,UNCHANGED_CORRECT,NONE,incompatible minor family
V3-TC-05,TRUE_CONFLICT,EXACT,TRUE_CONFLICT,ACCEPT,ACCEPT,REJECT,False,True,FIXED,NONE,negative exact-version contradiction
V3-EQ-01,EQUIVALENT_PASS,FAMILY_MAJOR,EQUIVALENT_PASS,INDETERMINATE,ACCEPT,ACCEPT,True,True,UNCHANGED_CORRECT,NONE,major family compatibility
V3-EQ-02,EQUIVALENT_PASS,FAMILY_MINOR,EQUIVALENT_PASS,REJECT,REJECT,ACCEPT,False,True,FAMILY_BROADENING_FIXED,NONE,minor family compatibility
V3-EQ-03,EQUIVALENT_PASS,FAMILY_MAJOR,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,UNCHANGED_CORRECT,NONE,wildcard family compatibility
V3-EQ-04,EQUIVALENT_PASS,EXACT,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,UNCHANGED_CORRECT,NONE,leading-v exact formatting
V3-EQ-05,EQUIVALENT_PASS,EXACT,EQUIVALENT_PASS,ACCEPT,ACCEPT,ACCEPT,True,True,UNCHANGED_CORRECT,NONE,identical exact version
V3-EQ-14,EQUIVALENT_PASS,FAMILY_MAJOR,EQUIVALENT_PASS,INDETERMINATE,ACCEPT,ACCEPT,True,True,UNCHANGED_CORRECT,NONE,explicit lower-bound family
V3-IND-04,INDETERMINATE,AMBIGUOUS,INDETERMINATE,REJECT,REJECT,INDETERMINATE,False,True,FIXED,NONE,exact versus minor-family unresolved
V3-IND-05,INDETERMINATE,AMBIGUOUS,INDETERMINATE,INDETERMINATE,REJECT,INDETERMINATE,False,True,FIXED,NONE,major specificity unresolved
V3-IND-06,INDETERMINATE,AMBIGUOUS,INDETERMINATE,REJECT,REJECT,INDETERMINATE,False,True,FIXED,NONE,truncated version specificity
V3-IND-07,INDETERMINATE,AMBIGUOUS,INDETERMINATE,REJECT,REJECT,INDETERMINATE,False,True,FIXED,NONE,multiple support versions
