case_id,query_id,arm,claim,support,gold,source,notes,target_index,baseline_outcome,candidate_outcome,change
H-emanual_1#row-0023-P0-T0,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.","(""My Computer Won't Connect. When the TV has difficulties connecting to a PC, these steps may help resolve the problem. The problem Try this! The Not Set your PC's output resolution so it matches a resolution supported by the TV. message appears. The video is OK but there is no audio. Select Source to confirm that the correct input source has been selected. If the TV is not connected to a cable box or satellite box, run Auto Program to search for channels. Settings Broadcasting Auto Program Confirm that the coaxial cable is securely connected to the TV. Run Start Setup Auto Program Settings General Start Setup Settings Broadcasting Auto Program Go to Caption Settings and change the Caption Mode Settings General Accessibility Caption Settings Caption Mode Some channels may not have caption data. The compression of the video content may cause picture distortions. This is especially true with fast moving pictures from sports programs and action movies. A weak signal can cause picture distortions. This is not a problem with the TV. If you are using an HDMI connection, check the audio output setting on your PC. If you are using an HDMI-to-DVI cable, a separate audio cable is required. Note that the HDMI-to-DVI connection is only supported by the HDMI (DVI) port and this port does not transmit audio. To listen to the computer sound, connect external speakers to the audio output connection of the computer."", 'Displaying the Home Screen. Press the button. The image on your TV may differ from the image above depending on the model and geographical area. On the Home Screen, you can easily run the apps you have used previously or frequently. The apps can also be moved or deleted from the screen. Notification You can view a list of notifications for all events that occur on your TV. A notification appears on the screen when it is time to view a scheduled program or when an event occurs on a registered device. If you move the focus to Notification , and then press the Select button, a notification window appears on the right and the following functions are available: Delete All You can delete all your notifications. Settings You can select services you want to be notified about. When you select Allow sound , notifications are displayed with a notification sound. Sources Connection HDMI 1 HDMI 2 USB 1 USB 2 Source Universal Remote Guide Settings When the focus is moved to the icon, a list of quick settings icons appears above the top of the menu. You can quickly set frequently used functions by clicking the icons. Picture Mode You can select the picture mode that provides the best viewing experience. To change the picture mode, press the Select button. To make fine adjustments, press the up directional button, and then select Picture Setup Sound Mode You can select a sound mode to optimize your listening experience. To change the sound mode, press the Select button. To make fine adjustments, press the up directional button, and then select Equalizer Setup Sound Output You can select which speakers the TV uses for audio output. To change the audio output, press the Select', 'Using the Channel List. Change the channel or check programs on other digital channels. Live TV Channel List Using the Channel List , you can change the channel or check programs on other digital channels while watching TV. The Channel List screen contains the following icons: : A favorite channel : A locked channel. If you press the right directional button when viewing the Channel List screen, you can use the following functions: All Channels Displays the channels that the TV found during the Auto Program channel search. Favorites Displays Favorites 1 Favorites 5 Air Cable To allow you to select Air Cable as the DTV mode, move the focus to Air Cable , and then press the Select button. Air is suitable for homes equipped with separate, over-the-air antennas. Cable is suitable for homes that subscribe to a local cable-service. You do not need to use this function if your TV is connected to a cable box or satellite box. TV PLUS While the TV is connected to the Internet, you can watch popular programs or highlights for each theme through a virtual channel at any time. As with regular channels, the TV provides the daily program schedules for TV PLUS This function may not be supported depending on the model or geographical area.')",FALSE_POSITIVE,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=1,0,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED
H-emanual_1#row-0023-P0-T1,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.","(""My Computer Won't Connect. When the TV has difficulties connecting to a PC, these steps may help resolve the problem. The problem Try this! The Not Set your PC's output resolution so it matches a resolution supported by the TV. message appears. The video is OK but there is no audio. Select Source to confirm that the correct input source has been selected. If the TV is not connected to a cable box or satellite box, run Auto Program to search for channels. Settings Broadcasting Auto Program Confirm that the coaxial cable is securely connected to the TV. Run Start Setup Auto Program Settings General Start Setup Settings Broadcasting Auto Program Go to Caption Settings and change the Caption Mode Settings General Accessibility Caption Settings Caption Mode Some channels may not have caption data. The compression of the video content may cause picture distortions. This is especially true with fast moving pictures from sports programs and action movies. A weak signal can cause picture distortions. This is not a problem with the TV. If you are using an HDMI connection, check the audio output setting on your PC. If you are using an HDMI-to-DVI cable, a separate audio cable is required. Note that the HDMI-to-DVI connection is only supported by the HDMI (DVI) port and this port does not transmit audio. To listen to the computer sound, connect external speakers to the audio output connection of the computer."", 'Displaying the Home Screen. Press the button. The image on your TV may differ from the image above depending on the model and geographical area. On the Home Screen, you can easily run the apps you have used previously or frequently. The apps can also be moved or deleted from the screen. Notification You can view a list of notifications for all events that occur on your TV. A notification appears on the screen when it is time to view a scheduled program or when an event occurs on a registered device. If you move the focus to Notification , and then press the Select button, a notification window appears on the right and the following functions are available: Delete All You can delete all your notifications. Settings You can select services you want to be notified about. When you select Allow sound , notifications are displayed with a notification sound. Sources Connection HDMI 1 HDMI 2 USB 1 USB 2 Source Universal Remote Guide Settings When the focus is moved to the icon, a list of quick settings icons appears above the top of the menu. You can quickly set frequently used functions by clicking the icons. Picture Mode You can select the picture mode that provides the best viewing experience. To change the picture mode, press the Select button. To make fine adjustments, press the up directional button, and then select Picture Setup Sound Mode You can select a sound mode to optimize your listening experience. To change the sound mode, press the Select button. To make fine adjustments, press the up directional button, and then select Equalizer Setup Sound Output You can select which speakers the TV uses for audio output. To change the audio output, press the Select', 'Using the Channel List. Change the channel or check programs on other digital channels. Live TV Channel List Using the Channel List , you can change the channel or check programs on other digital channels while watching TV. The Channel List screen contains the following icons: : A favorite channel : A locked channel. If you press the right directional button when viewing the Channel List screen, you can use the following functions: All Channels Displays the channels that the TV found during the Auto Program channel search. Favorites Displays Favorites 1 Favorites 5 Air Cable To allow you to select Air Cable as the DTV mode, move the focus to Air Cable , and then press the Select button. Air is suitable for homes equipped with separate, over-the-air antennas. Cable is suitable for homes that subscribe to a local cable-service. You do not need to use this function if your TV is connected to a cable box or satellite box. TV PLUS While the TV is connected to the Internet, you can watch popular programs or highlights for each theme through a virtual channel at any time. As with regular channels, the TV provides the daily program schedules for TV PLUS This function may not be supported depending on the model or geographical area.')",FALSE_POSITIVE,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=2,1,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED
H-emanual_1#row-0023-P0-T2,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.","(""My Computer Won't Connect. When the TV has difficulties connecting to a PC, these steps may help resolve the problem. The problem Try this! The Not Set your PC's output resolution so it matches a resolution supported by the TV. message appears. The video is OK but there is no audio. Select Source to confirm that the correct input source has been selected. If the TV is not connected to a cable box or satellite box, run Auto Program to search for channels. Settings Broadcasting Auto Program Confirm that the coaxial cable is securely connected to the TV. Run Start Setup Auto Program Settings General Start Setup Settings Broadcasting Auto Program Go to Caption Settings and change the Caption Mode Settings General Accessibility Caption Settings Caption Mode Some channels may not have caption data. The compression of the video content may cause picture distortions. This is especially true with fast moving pictures from sports programs and action movies. A weak signal can cause picture distortions. This is not a problem with the TV. If you are using an HDMI connection, check the audio output setting on your PC. If you are using an HDMI-to-DVI cable, a separate audio cable is required. Note that the HDMI-to-DVI connection is only supported by the HDMI (DVI) port and this port does not transmit audio. To listen to the computer sound, connect external speakers to the audio output connection of the computer."", 'Displaying the Home Screen. Press the button. The image on your TV may differ from the image above depending on the model and geographical area. On the Home Screen, you can easily run the apps you have used previously or frequently. The apps can also be moved or deleted from the screen. Notification You can view a list of notifications for all events that occur on your TV. A notification appears on the screen when it is time to view a scheduled program or when an event occurs on a registered device. If you move the focus to Notification , and then press the Select button, a notification window appears on the right and the following functions are available: Delete All You can delete all your notifications. Settings You can select services you want to be notified about. When you select Allow sound , notifications are displayed with a notification sound. Sources Connection HDMI 1 HDMI 2 USB 1 USB 2 Source Universal Remote Guide Settings When the focus is moved to the icon, a list of quick settings icons appears above the top of the menu. You can quickly set frequently used functions by clicking the icons. Picture Mode You can select the picture mode that provides the best viewing experience. To change the picture mode, press the Select button. To make fine adjustments, press the up directional button, and then select Picture Setup Sound Mode You can select a sound mode to optimize your listening experience. To change the sound mode, press the Select button. To make fine adjustments, press the up directional button, and then select Equalizer Setup Sound Output You can select which speakers the TV uses for audio output. To change the audio output, press the Select', 'Using the Channel List. Change the channel or check programs on other digital channels. Live TV Channel List Using the Channel List , you can change the channel or check programs on other digital channels while watching TV. The Channel List screen contains the following icons: : A favorite channel : A locked channel. If you press the right directional button when viewing the Channel List screen, you can use the following functions: All Channels Displays the channels that the TV found during the Auto Program channel search. Favorites Displays Favorites 1 Favorites 5 Air Cable To allow you to select Air Cable as the DTV mode, move the focus to Air Cable , and then press the Select button. Air is suitable for homes equipped with separate, over-the-air antennas. Cable is suitable for homes that subscribe to a local cable-service. You do not need to use this function if your TV is connected to a cable box or satellite box. TV PLUS While the TV is connected to the Internet, you can watch popular programs or highlights for each theme through a virtual channel at any time. As with regular channels, the TV provides the daily program schedules for TV PLUS This function may not be supported depending on the model or geographical area.')",FALSE_POSITIVE,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=1,2,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED
H-emanual_1#row-0023-P0-T3,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.","(""My Computer Won't Connect. When the TV has difficulties connecting to a PC, these steps may help resolve the problem. The problem Try this! The Not Set your PC's output resolution so it matches a resolution supported by the TV. message appears. The video is OK but there is no audio. Select Source to confirm that the correct input source has been selected. If the TV is not connected to a cable box or satellite box, run Auto Program to search for channels. Settings Broadcasting Auto Program Confirm that the coaxial cable is securely connected to the TV. Run Start Setup Auto Program Settings General Start Setup Settings Broadcasting Auto Program Go to Caption Settings and change the Caption Mode Settings General Accessibility Caption Settings Caption Mode Some channels may not have caption data. The compression of the video content may cause picture distortions. This is especially true with fast moving pictures from sports programs and action movies. A weak signal can cause picture distortions. This is not a problem with the TV. If you are using an HDMI connection, check the audio output setting on your PC. If you are using an HDMI-to-DVI cable, a separate audio cable is required. Note that the HDMI-to-DVI connection is only supported by the HDMI (DVI) port and this port does not transmit audio. To listen to the computer sound, connect external speakers to the audio output connection of the computer."", 'Displaying the Home Screen. Press the button. The image on your TV may differ from the image above depending on the model and geographical area. On the Home Screen, you can easily run the apps you have used previously or frequently. The apps can also be moved or deleted from the screen. Notification You can view a list of notifications for all events that occur on your TV. A notification appears on the screen when it is time to view a scheduled program or when an event occurs on a registered device. If you move the focus to Notification , and then press the Select button, a notification window appears on the right and the following functions are available: Delete All You can delete all your notifications. Settings You can select services you want to be notified about. When you select Allow sound , notifications are displayed with a notification sound. Sources Connection HDMI 1 HDMI 2 USB 1 USB 2 Source Universal Remote Guide Settings When the focus is moved to the icon, a list of quick settings icons appears above the top of the menu. You can quickly set frequently used functions by clicking the icons. Picture Mode You can select the picture mode that provides the best viewing experience. To change the picture mode, press the Select button. To make fine adjustments, press the up directional button, and then select Picture Setup Sound Mode You can select a sound mode to optimize your listening experience. To change the sound mode, press the Select button. To make fine adjustments, press the up directional button, and then select Equalizer Setup Sound Output You can select which speakers the TV uses for audio output. To change the audio output, press the Select', 'Using the Channel List. Change the channel or check programs on other digital channels. Live TV Channel List Using the Channel List , you can change the channel or check programs on other digital channels while watching TV. The Channel List screen contains the following icons: : A favorite channel : A locked channel. If you press the right directional button when viewing the Channel List screen, you can use the following functions: All Channels Displays the channels that the TV found during the Auto Program channel search. Favorites Displays Favorites 1 Favorites 5 Air Cable To allow you to select Air Cable as the DTV mode, move the focus to Air Cable , and then press the Select button. Air is suitable for homes equipped with separate, over-the-air antennas. Cable is suitable for homes that subscribe to a local cable-service. You do not need to use this function if your TV is connected to a cable box or satellite box. TV PLUS While the TV is connected to the Internet, you can watch popular programs or highlights for each theme through a virtual channel at any time. As with regular channels, the TV provides the daily program schedules for TV PLUS This function may not be supported depending on the model or geographical area.')",FALSE_POSITIVE,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=2,3,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED
H-emanual_539#row-0027-P0-T0,emanual_539#row-0027,DEV,Yes. You can select Ambient Light Detection in Settings > General > Eco Solution. It automatically adjusts the TV’s brightness according to the ambient light level.,"(""Reducing the energy consumption of the TV. Settings General Eco Solution Try Now You can adjust the brightness level of the TV, reduce overall power consumption, and prevent overheating. Ambient Light Detection Try Now Automatically adjusts the brightness level of the TV, according to the ambient light level, to reduce power consumption. If Ambient Light Detection has adjusted the screen brightness to a too bright or dark level, you can select Minimum Backlight to manually adjust the minimum screen brightness. Minimum Backlight Try Now When Ambient Light Detection is turned on, you can manually adjust the minimum brightness of the TV screen. This function acts only when the value is less than the setting in Settings Picture Expert Settings Backlight Power Saving Mode Try Now Allows you to select a brightness setting from the list to reduce the TV's power consumption. Motion Lighting Try Now Adjusts the brightness in response to on-screen movements to reduce power consumption. Auto Power Off Try Now Automatically turns off the TV to reduce unnecessary power consumption if there is no operation for 4 hours."",)",INDETERMINATE,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=INDETERMINATE; value=true,0,INDETERMINATE,INDETERMINATE,UNCHANGED
H-emanual_558#row-0032-P0-T0,emanual_558#row-0032,DEV,"Yes. When the TV is in Ambient Mode, press the TV-mode button to return to TV mode and watch broadcasts or content from connected external devices. [s.filesystem:handbook/1/0]","('Screen states related to Ambient Mode. Ambient Mode Ambient Mode , you can set up and enjoy visual information and design. In this state, less power is consumed and brightness is automatically adjusted by the illuminance sensor. Getting dark state Ambient Mode , the TV screen changes automatically according to the surroundings. When the surroundings get dark, the TV screen becomes darker. When the surroundings get bright before the TV screen turns completely black or when the remote control or the Bixby function is operated, the TV screen returns to the Ambient Mode You can change the auto brightness setting for Ambient Mode . For more information, refer to up the Ambient Mode In this state, the TV can activate voice guides and process voice commands. Black screen state Ambient Mode , if the surroundings get to a specific level of darkness or there is no external operation, the TV turns soft-off. Then, when the surroundings get bright, the TV screen returns to the Ambient Mode You can change the auto brightness setting for Ambient Mode . For more information, refer to up the Ambient Mode In this state, the TV cannot activate voice guides and process voice commands. TV off state To enter Ambient Mode when the TV is turned off, press the button on the remote control. To enter TV mode when the TV is turned off, press the button. In TV mode, you can watch broadcasts or enjoy the content on the external connected devices.',)",INDETERMINATE,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true,0,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED
H-emanual_645#row-0051-P0-T0,emanual_645#row-0051,DEV,"Yes. Check the TV’s volume and the volume on the connected external device. Also verify that Sound Output is set to TV Speaker, check the external device’s audio output setting, and make sure nothing is plugged into the TV’s headphone jack. You can also reboot the connected device by disconnecting and reconnecting its power cable. [s.filesystem:handbook/1/0]","(""Testing the sound. Settings Support Self Diagnosis Start Sound Test Try Now If the TV plays the Start Sound Test melody without distortion, there may be a problem with an external device or the broadcast signal's strength. The problem Try this! There is no sound or the sound is too low at maximum volume. The picture is good but there is no sound. No sound is heard. The speakers are making an odd sound. Check the volume control of your TV, and then check the volume control of the external device (cable box or satellite box, DVD, Blu-ray, etc.) connected to your TV. Set Sound Output TV Speaker Settings Sound Sound Output If you are using an external device, check the device's audio output option. For example, you may need to change your cable box's audio option to HDMI if the box connected to your TV is using an HDMI cable. To listen to computer sound, connect an external speaker to the computer's audio output connector. If your TV has a headphone jack, make sure there is nothing plugged into it. Reboot the connected device by disconnecting and then reconnecting the device's power cable. Check whether the Digital Output Audio Format is set to Dolby Digital+ If you are using a receiver that does not support Dolby Digital Plus, you will hear no sound when you select Dolby Digital+ Settings Sound Expert Settings Digital Output Audio Format Dolby Digital+ Run"",)",INDETERMINATE,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true,0,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED
H-emanual_645#row-0117-P0-T0,emanual_645#row-0117,DEV,"Yes. Check and adjust both the TV’s volume and the connected external device’s volume. If you use an external device, check its audio-output setting—for example, set a cable box’s audio option to HDMI when it is connected by HDMI. Also check that nothing is plugged into the TV’s headphone jack, and set Sound Output to TV Speaker if appropriate.","(""Testing the sound. Settings Support Self Diagnosis Start Sound Test Try Now If the TV plays the Start Sound Test melody without distortion, there may be a problem with an external device or the broadcast signal's strength. The problem Try this! There is no sound or the sound is too low at maximum volume. The picture is good but there is no sound. No sound is heard. The speakers are making an odd sound. Check the volume control of your TV, and then check the volume control of the external device (cable box or satellite box, DVD, Blu-ray, etc.) connected to your TV. Set Sound Output TV Speaker Settings Sound Sound Output If you are using an external device, check the device's audio output option. For example, you may need to change your cable box's audio option to HDMI if the box connected to your TV is using an HDMI cable. To listen to computer sound, connect an external speaker to the computer's audio output connector. If your TV has a headphone jack, make sure there is nothing plugged into it. Reboot the connected device by disconnecting and then reconnecting the device's power cable. Check whether the Digital Output Audio Format is set to Dolby Digital+ If you are using a receiver that does not support Dolby Digital Plus, you will hear no sound when you select Dolby Digital+ Settings Sound Expert Settings Digital Output Audio Format Dolby Digital+ Run"",)",INDETERMINATE,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true,0,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED
S-NUM-GROUP-DOT,synthetic_numeric,DEV,ARG_MAX permits 131.072 arguments.,"('ARG_MAX permits 131072 arguments.',)",FALSE_POSITIVE,synthetic,unambiguous technical thousands grouping,,INDETERMINATE,SUPPORTED,FIXED
S-NUM-GROUP-COMMA,synthetic_numeric,DEV,"The limit is 1,000 entries.","('The limit is 1000 entries.',)",FALSE_POSITIVE,synthetic,comma grouping,,DIRECT_CONFLICT,SUPPORTED,FIXED
S-NUM-DECIMAL-GUARD,synthetic_numeric,DEV,The measured value is 1.5 seconds.,"('The measured value is 15 seconds.',)",TRUE_CONFLICT,synthetic,decimal must not collapse into integer,,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED
