occurrence_id,case_id,category,raw_literal,normalized_value,type,span_start,span_end,expected_label,v4_behavior,v5_behavior,v4_correct,v5_correct,same_value_sibling_count,type_differs_from_sibling,query_echo,evidence_contains_value,supported_alternative_present,change_type,safety_effect
C31.O1,C31,REVERSED_ORDER,100,100,NUMBER,20,23,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,True,True,True,UNCHANGED_SAFE,SAFE
C31.O2,C31,REVERSED_ORDER,100,100,NUMBER,29,32,SKIP_REJECTED_PREMISE,SKIP,SKIP,True,True,2,False,True,True,True,UNCHANGED_SAFE,SAFE
C31.O3,C31,REVERSED_ORDER,120,120,NUMBER,86,89,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,True,True,True,UNCHANGED_SAFE,SAFE
C32.O1,C32,REVERSED_ORDER_CROSS_TYPE,30 days,30,DURATION,21,28,VALIDATE,VALIDATE,VALIDATE,True,True,2,True,False,True,True,UNCHANGED_SAFE,SAFE
C32.O2,C32,REVERSED_ORDER_CROSS_TYPE,30,30,NUMBER,34,36,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,True,False,True,True,MULTI_OCCURRENCE_FIXED,SAFE
C32.O3,C32,REVERSED_ORDER_CROSS_TYPE,90 days,90,DURATION,90,97,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C33.O1,C33,REVERSED_VERSION,8.1.2,8.1.2,VERSION,16,21,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,True,True,True,UNCHANGED_SAFE,SAFE
C33.O2,C33,REVERSED_VERSION,8.1.2,8.1.2,VERSION,27,32,SKIP_REJECTED_PREMISE,SKIP,SKIP,True,True,2,False,True,True,True,UNCHANGED_SAFE,SAFE
C33.O3,C33,REVERSED_VERSION,8.1.3,8.1.3,VERSION,81,86,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,True,True,True,UNCHANGED_SAFE,SAFE
C34.O1,C34,REVERSED_IDENTIFIER,204,204,NUMBER,20,23,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C34.O2,C34,REVERSED_IDENTIFIER,204,204,NUMBER,29,32,SKIP_REJECTED_PREMISE,SKIP,SKIP,True,True,2,False,False,True,True,UNCHANGED_SAFE,SAFE
C34.O3,C34,REVERSED_IDENTIFIER,205,205,NUMBER,79,82,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C35.O1,C35,REVERSED_PERCENTAGE,10%,10,PERCENTAGE,18,21,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,True,True,True,UNCHANGED_SAFE,SAFE
C35.O2,C35,REVERSED_PERCENTAGE,10%,10,PERCENTAGE,27,30,SKIP_REJECTED_PREMISE,SKIP,SKIP,True,True,2,False,True,True,True,UNCHANGED_SAFE,SAFE
C35.O3,C35,REVERSED_PERCENTAGE,20%,20,PERCENTAGE,80,83,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,True,True,True,UNCHANGED_SAFE,SAFE
C36.O1,C36,REVERSED_DATE,2025-01-01,2025-01-01,DATE,19,29,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,True,True,True,UNCHANGED_SAFE,SAFE
C36.O2,C36,REVERSED_DATE,2025-01-01,2025-01-01,DATE,35,45,SKIP_REJECTED_PREMISE,SKIP,SKIP,True,True,2,False,True,True,True,UNCHANGED_SAFE,SAFE
C36.O3,C36,REVERSED_DATE,2025-02-01,2025-02-01,DATE,89,99,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,True,True,True,UNCHANGED_SAFE,SAFE
