candidate,case_id,query_id,arm,claim,gold,baseline_outcome,candidate_outcome,change,source,notes
NUMERIC,H-emanual_1#row-0023-P0-T0,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=1
NUMERIC,H-emanual_1#row-0023-P0-T1,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=2
NUMERIC,H-emanual_1#row-0023-P0-T2,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=1
NUMERIC,H-emanual_1#row-0023-P0-T3,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=2
NUMERIC,H-emanual_539#row-0027-P0-T0,emanual_539#row-0027,DEV,Yes. You can select Ambient Light Detection in Settings > General > Eco Solution. It automatically adjusts the TV’s brightness according to the ambient light level.,INDETERMINATE,INDETERMINATE,INDETERMINATE,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=INDETERMINATE; value=true
NUMERIC,H-emanual_558#row-0032-P0-T0,emanual_558#row-0032,DEV,"Yes. When the TV is in Ambient Mode, press the TV-mode button to return to TV mode and watch broadcasts or content from connected external devices. [s.filesystem:handbook/1/0]",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
NUMERIC,H-emanual_645#row-0051-P0-T0,emanual_645#row-0051,DEV,"Yes. Check the TV’s volume and the volume on the connected external device. Also verify that Sound Output is set to TV Speaker, check the external device’s audio output setting, and make sure nothing is plugged into the TV’s headphone jack. You can also reboot the connected device by disconnecting and reconnecting its power cable. [s.filesystem:handbook/1/0]",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
NUMERIC,H-emanual_645#row-0117-P0-T0,emanual_645#row-0117,DEV,"Yes. Check and adjust both the TV’s volume and the connected external device’s volume. If you use an external device, check its audio-output setting—for example, set a cable box’s audio option to HDMI when it is connected by HDMI. Also check that nothing is plugged into the TV’s headphone jack, and set Sound Output to TV Speaker if appropriate.",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
NUMERIC,S-NUM-GROUP-DOT,synthetic_numeric,DEV,ARG_MAX permits 131.072 arguments.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,unambiguous technical thousands grouping
NUMERIC,S-NUM-GROUP-COMMA,synthetic_numeric,DEV,"The limit is 1,000 entries.",FALSE_POSITIVE,DIRECT_CONFLICT,SUPPORTED,FIXED,synthetic,comma grouping
NUMERIC,S-NUM-DECIMAL-GUARD,synthetic_numeric,DEV,The measured value is 1.5 seconds.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,decimal must not collapse into integer
NUMERIC,S-NUM-MISMATCH,synthetic_numeric,DEV,Wait 50 seconds.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,ordinary numeric mismatch
NUMERIC,S-VERSION-FAMILY,synthetic_version,DEV,Version 8 or later is supported.,FALSE_POSITIVE,INDETERMINATE,INDETERMINATE,UNCHANGED,synthetic,family claim permits later patch release
NUMERIC,S-VERSION-V-PREFIX,synthetic_version,DEV,Use v8.0.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,optional v prefix
NUMERIC,S-VERSION-EXACT-MISMATCH,synthetic_version,DEV,Use exactly version 8.0.0.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,exact specificity preserved
NUMERIC,S-CVE-SAME,synthetic_identifier,DEV,The issue is CVE-2024-1234.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,hyphenated identifier
NUMERIC,S-CVE-DIFFERENT,synthetic_identifier,DEV,The issue is CVE-2024-1234.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,different identifier
NUMERIC,S-SQLCODE-SIGNED,synthetic_identifier,DEV,The database returns SQLCODE -204.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,signed SQLCODE formatting
NUMERIC,S-SQLCODE-MISMATCH,synthetic_identifier,DEV,The database returns SQLCODE -204.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,signed code mismatch
NUMERIC,S-NEGATIVE-CONTRAST,synthetic_negative,DEV,The feature is not supported in Portal 8.0.,INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,synthetic,different version does not establish a contradiction
NUMERIC,S-NEGATIVE-CONFLICT,synthetic_negative,DEV,The feature is not supported in Portal 8.0.,TRUE_CONFLICT,SUPPORTED,SUPPORTED,MISSED,synthetic,support contradicts negation
NUMERIC,S-SEGMENT-EXACT,synthetic_segmentation,DEV,The installed release is 8.0.0.2.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,exact literal remains in one attached support unit
NUMERIC,S-SEGMENT-DISTRACTOR,synthetic_segmentation,DEV,The installed release is 8.0.0.2.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,same-unit different release
VERSION,H-emanual_1#row-0023-P0-T0,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=1
VERSION,H-emanual_1#row-0023-P0-T1,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=2
VERSION,H-emanual_1#row-0023-P0-T2,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=1
VERSION,H-emanual_1#row-0023-P0-T3,emanual_1#row-0023,DEV,"To select a source, open the Home Screen and choose Source; available sources may include HDMI 1, HDMI 2, USB 1, and USB 2. To search for TV channels, use Settings > Broadcasting > Auto Program. The TV’s Channel List displays channels found during the Auto Program search; you can also choose Air for an over-the-air antenna or Cable for local cable service.",FALSE_POSITIVE,DIRECT_SUPPORT,DIRECT_SUPPORT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_SUPPORT; value=2
VERSION,H-emanual_539#row-0027-P0-T0,emanual_539#row-0027,DEV,Yes. You can select Ambient Light Detection in Settings > General > Eco Solution. It automatically adjusts the TV’s brightness according to the ambient light level.,INDETERMINATE,INDETERMINATE,INDETERMINATE,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=INDETERMINATE; value=true
VERSION,H-emanual_558#row-0032-P0-T0,emanual_558#row-0032,DEV,"Yes. When the TV is in Ambient Mode, press the TV-mode button to return to TV mode and watch broadcasts or content from connected external devices. [s.filesystem:handbook/1/0]",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
VERSION,H-emanual_645#row-0051-P0-T0,emanual_645#row-0051,DEV,"Yes. Check the TV’s volume and the volume on the connected external device. Also verify that Sound Output is set to TV Speaker, check the external device’s audio output setting, and make sure nothing is plugged into the TV’s headphone jack. You can also reboot the connected device by disconnecting and reconnecting its power cable. [s.filesystem:handbook/1/0]",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
VERSION,H-emanual_645#row-0117-P0-T0,emanual_645#row-0117,DEV,"Yes. Check and adjust both the TV’s volume and the connected external device’s volume. If you use an external device, check its audio-output setting—for example, set a cable box’s audio option to HDMI when it is connected by HDMI. Also check that nothing is plugged into the TV’s headphone jack, and set Sound Output to TV Speaker if appropriate.",INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,basic50-claim-local-validator/claim-local-traces.jsonl,historical token status=DIRECT_CONFLICT; value=true
VERSION,S-NUM-GROUP-DOT,synthetic_numeric,DEV,ARG_MAX permits 131.072 arguments.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,unambiguous technical thousands grouping
VERSION,S-NUM-GROUP-COMMA,synthetic_numeric,DEV,"The limit is 1,000 entries.",FALSE_POSITIVE,DIRECT_CONFLICT,SUPPORTED,FIXED,synthetic,comma grouping
VERSION,S-NUM-DECIMAL-GUARD,synthetic_numeric,DEV,The measured value is 1.5 seconds.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,decimal must not collapse into integer
VERSION,S-NUM-MISMATCH,synthetic_numeric,DEV,Wait 50 seconds.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,ordinary numeric mismatch
VERSION,S-VERSION-FAMILY,synthetic_version,DEV,Version 8 or later is supported.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,family claim permits later patch release
VERSION,S-VERSION-V-PREFIX,synthetic_version,DEV,Use v8.0.,FALSE_POSITIVE,INDETERMINATE,SUPPORTED,FIXED,synthetic,optional v prefix
VERSION,S-VERSION-EXACT-MISMATCH,synthetic_version,DEV,Use exactly version 8.0.0.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,exact specificity preserved
VERSION,S-CVE-SAME,synthetic_identifier,DEV,The issue is CVE-2024-1234.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,hyphenated identifier
VERSION,S-CVE-DIFFERENT,synthetic_identifier,DEV,The issue is CVE-2024-1234.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,different identifier
VERSION,S-SQLCODE-SIGNED,synthetic_identifier,DEV,The database returns SQLCODE -204.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,signed SQLCODE formatting
VERSION,S-SQLCODE-MISMATCH,synthetic_identifier,DEV,The database returns SQLCODE -204.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,signed code mismatch
VERSION,S-NEGATIVE-CONTRAST,synthetic_negative,DEV,The feature is not supported in Portal 8.0.,INDETERMINATE,DIRECT_CONFLICT,DIRECT_CONFLICT,UNCHANGED,synthetic,different version does not establish a contradiction
VERSION,S-NEGATIVE-CONFLICT,synthetic_negative,DEV,The feature is not supported in Portal 8.0.,TRUE_CONFLICT,SUPPORTED,SUPPORTED,MISSED,synthetic,support contradicts negation
VERSION,S-SEGMENT-EXACT,synthetic_segmentation,DEV,The installed release is 8.0.0.2.,FALSE_POSITIVE,SUPPORTED,SUPPORTED,FIXED,synthetic,exact literal remains in one attached support unit
VERSION,S-SEGMENT-DISTRACTOR,synthetic_segmentation,DEV,The installed release is 8.0.0.2.,TRUE_CONFLICT,DIRECT_CONFLICT,DIRECT_CONFLICT,PRESERVED,synthetic,same-unit different release
