occurrence_id,case_id,category,raw_literal,normalized_value,type,span_start,span_end,expected_label,v4_behavior,v5_behavior,v4_correct,v5_correct,same_value_sibling_count,type_differs_from_sibling,query_echo,evidence_contains_value,supported_alternative_present,change_type,safety_effect
C08.O1,C08,VERSION_POSITIVE,8.1.2,8.1.2,VERSION,25,30,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C08.O2,C08,VERSION_POSITIVE,8.1.2,8.1.2,VERSION,51,56,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C09.O1,C09,SIGNED_IDENTIFIER,204,204,NUMBER,29,32,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C09.O2,C09,SIGNED_IDENTIFIER,204,204,NUMBER,71,74,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C13.O1,C13,CORRECTIVE_VERSION,version 8.1.2,8.1.2,VERSION,4,17,SKIP_REJECTED_PREMISE,SKIP,SKIP,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C13.O2,C13,CORRECTIVE_VERSION,8.1.3,8.1.3,VERSION,53,58,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C14.O1,C14,CORRECTIVE_IDENTIFIER,204,204,NUMBER,15,18,SKIP_REJECTED_PREMISE,SKIP,SKIP,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C14.O2,C14,CORRECTIVE_IDENTIFIER,205,205,NUMBER,55,58,VALIDATE,VALIDATE,VALIDATE,True,True,1,False,False,True,True,UNCHANGED_SAFE,SAFE
C23.O1,C23,VERSION_DUPLICATE,8.1.2,8.1.2,VERSION,0,5,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
C23.O2,C23,VERSION_DUPLICATE,8.1.2,8.1.2,VERSION,51,56,VALIDATE,VALIDATE,VALIDATE,True,True,2,False,False,True,False,UNCHANGED_SAFE,SAFE
C24.O1,C24,IDENTIFIER_DUPLICATE,204,204,NUMBER,0,3,SKIP_REJECTED_PREMISE,VALIDATE,SKIP,False,True,2,False,False,True,False,MULTI_OCCURRENCE_FIXED,SAFE
