query_id,arm,critical_event_count,true_conflict_count,false_positive_count,indeterminate_count,critical_reject,forced_abstain,final_semantic_label,final_visible,primary_validator_outcome
techqa_DEV_Q008#row-0009,OFF,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q008#row-0009,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q012#row-0133,OFF,1,0,1,0,True,False,PARTIAL,True,FALSE_POSITIVE_REJECT
techqa_DEV_Q012#row-0133,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q018#row-0112,OFF,2,0,2,0,True,False,PARTIAL,True,FALSE_POSITIVE_REJECT
techqa_DEV_Q018#row-0112,ON,3,0,1,2,True,True,UNAVAILABLE,False,MIXED_REJECTS
techqa_DEV_Q032#row-0062,OFF,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q032#row-0062,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q035#row-0121,OFF,4,0,3,1,True,False,PARTIAL,True,MIXED_REJECTS
techqa_DEV_Q035#row-0121,ON,0,0,0,0,False,False,CORRECT,True,NO_REJECT
techqa_DEV_Q036#row-0037,OFF,3,0,0,3,True,False,PARTIAL,True,INDETERMINATE_REJECT
techqa_DEV_Q036#row-0037,ON,0,0,0,0,False,False,PARTIAL,True,NO_REJECT
techqa_DEV_Q039#row-0060,OFF,2,0,2,0,True,False,CORRECT,True,FALSE_POSITIVE_REJECT
techqa_DEV_Q039#row-0060,ON,4,0,0,4,True,False,PARTIAL,True,INDETERMINATE_REJECT
techqa_DEV_Q044#row-0033,OFF,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q044#row-0033,ON,0,0,0,0,False,False,UNAVAILABLE,False,NO_REJECT
techqa_DEV_Q047#row-0156,OFF,2,0,0,2,True,False,CORRECT,True,INDETERMINATE_REJECT
techqa_DEV_Q047#row-0156,ON,2,0,0,2,True,False,PARTIAL,True,INDETERMINATE_REJECT
techqa_DEV_Q051#row-0039,OFF,0,0,0,0,False,False,CORRECT,True,NO_REJECT
